contig_id	count	cpm	tpm	fpkm	length
k127_21528	2	106.06	223.87	11872.22	515
k127_26011	4	212.12	395.52	20974.93	583
k127_5382	2	106.06	218.78	11601.88	527
k127_19734	3	159.09	249.92	13253.30	692
k127_9871	4	212.12	368.36	19534.16	626
k127_28699	8	424.25	513.56	27234.70	898
k127_4485	5	265.15	475.64	25223.56	606
k127_16146	2	106.06	208.11	11036.45	554
k127_39451	3	159.09	276.71	14674.06	625
k127_20632	2	106.06	204.06	10821.58	565
k127_10767	5	265.15	370.01	19621.92	779
k127_5384	5	265.15	372.88	19774.23	773
k127_43034	9	477.28	604.70	32067.44	858
k127_23326	2	106.06	223.87	11872.22	515
k127_4489	2	106.06	221.72	11758.06	520
k127_30493	2	106.06	223.44	11849.21	516
k127_17943	2	106.06	213.51	11322.58	540
k127_23327	6	318.18	481.74	25546.76	718
k127_18841	2	106.06	201.92	10707.87	571
k127_43040	6	318.18	691.77	36685.15	500
k127_22429	9	477.28	402.50	21345.12	1289
k127_39459	4	212.12	405.97	21528.84	568
k127_17945	2	106.06	228.31	12107.31	505
k127_14358	3	159.09	279.84	14840.27	618
k127_8080	4	212.12	405.97	21528.84	568
k127_5392	6	318.18	343.14	18197.00	1008
k127_39462	2	106.06	229.67	12179.66	502
k127_3604	2	106.06	212.33	11260.02	543
k127_11665	4	212.12	279.17	14804.34	826
k127_9878	3	159.09	253.21	13427.95	683
k127_42148	2	106.06	217.13	11514.48	531
k127_4495	11	583.34	689.27	36552.23	920
k127_40356	2	106.06	230.59	12228.38	500
k127_17056	10	530.31	684.65	36307.55	842
k127_22434	4	212.12	327.54	17369.86	704
k127_14363	2	106.06	229.22	12155.45	503
k127_17058	2	106.06	225.63	11965.15	511
k127_5396	3	159.09	316.75	16797.23	546
k127_6291	10	530.31	1128.13	59825.74	511
k127_34091	4	212.12	333.71	17696.65	691
k127_16153	4	212.12	236.99	12567.71	973
k127_25126	2	106.06	215.10	11407.07	536
k127_9879	2	106.06	210.39	11157.28	548
k127_30502	2	106.06	210.39	11157.28	548
k127_21544	2	106.06	224.31	11895.31	514
k127_6292	2	106.06	209.25	11096.54	551
k127_37686	3	159.09	315.59	16735.92	548
k127_13473	2	106.06	209.25	11096.54	551
k127_16156	2	106.06	203.70	10802.46	566
k127_6294	2	106.06	224.31	11895.31	514
k127_43946	7	371.21	548.28	29075.64	736
k127_5400	2	106.06	204.42	10840.76	564
k127_15270	2	106.06	217.13	11514.48	531
k127_913	2	106.06	208.49	11056.40	553
k127_17069	2	106.06	211.16	11198.15	546
k127_34100	2	106.06	226.96	12035.81	508
k127_26926	2	106.06	206.25	10937.73	559
k127_23341	2	106.06	211.55	11218.70	545
k127_39472	3	159.09	243.58	12917.31	710
k127_18856	4	212.12	337.61	17903.93	683
k127_33193	2	106.06	210.78	11177.68	547
k127_10786	2	106.06	223.87	11872.22	515
k127_15271	10	530.31	1023.94	54300.10	563
k127_1824	2	106.06	211.94	11239.32	544
k127_18857	2	106.06	226.07	11988.61	510
k127_24230	57	3022.75	926.39	49127.28	3547
k127_19750	2	106.06	219.61	11646.08	525
k127_27823	2	106.06	222.15	11780.71	519
k127_2716	31	1643.95	3044.42	161447.98	587
k127_43055	2	106.06	210.78	11177.68	547
k127_28721	2	106.06	219.61	11646.08	525
k127_17073	10	530.31	840.34	44564.07	686
k127_25138	2	106.06	215.10	11407.07	536
k127_14373	2	106.06	218.36	11579.91	528
k127_43056	2	106.06	224.75	11918.50	513
k127_37693	4	212.12	347.28	18416.24	664
k127_1829	2	106.06	214.70	11385.83	537
k127_29609	2	106.06	227.86	12083.38	506
k127_16166	2	106.06	213.51	11322.58	540
k127_13485	2	106.06	209.25	11096.54	551
k127_15275	2	106.06	226.51	12012.16	509
k127_39479	2	106.06	206.99	10977.00	557
k127_28724	2	106.06	211.94	11239.32	544
k127_3621	2	106.06	229.67	12179.66	502
k127_920	4	212.12	442.59	23470.98	521
k127_12579	9	477.28	550.77	29207.92	942
k127_33199	3	159.09	251.74	13349.76	687
k127_39481	5	265.15	384.32	20380.64	750
k127_28726	18	954.55	831.46	44092.72	1248
k127_24240	2	106.06	219.61	11646.08	525
k127_43954	2	106.06	211.16	11198.15	546
k127_23353	4	212.12	345.71	18333.41	667
k127_24241	2	106.06	210.01	11136.96	549
k127_18868	2	106.06	222.58	11803.46	518
k127_23355	2	106.06	227.41	12059.55	507
k127_21560	2	106.06	224.31	11895.31	514
k127_16171	10	530.31	477.61	25328.05	1207
k127_15283	2	106.06	223.44	11849.21	516
k127_43062	2	106.06	205.88	10918.20	560
k127_9908	9	477.28	511.16	27107.25	1015
k127_12583	3	159.09	250.28	13272.48	691
k127_18870	4	212.12	366.02	19410.13	630
k127_927	19	1007.58	784.60	41608.03	1396
k127_32327	2	106.06	206.25	10937.73	559
k127_39490	2	106.06	216.72	11492.84	532
k127_9010	2	106.06	229.22	12155.45	503
k127_35012	3	159.09	324.47	17206.92	533
k127_26050	8	424.25	865.26	45885.11	533
k127_35013	2	106.06	227.86	12083.38	506
k127_15289	2	106.06	226.96	12035.81	508
k127_7216	2	106.06	225.63	11965.15	511
k127_19764	2	106.06	215.10	11407.07	536
k127_43069	2	106.06	213.51	11322.58	540
k127_30523	2	106.06	208.49	11056.40	553
k127_24252	8	424.25	698.76	37055.70	660
k127_6321	3	159.09	333.87	17705.19	518
k127_39495	2	106.06	213.91	11343.58	539
k127_32329	61	3234.87	1085.34	57556.43	3240
k127_43072	3	159.09	317.33	16828.05	545
k127_6325	2	106.06	216.31	11471.28	533
k127_9013	3	159.09	250.64	13291.72	690
k127_18879	3	159.09	231.52	12277.49	747
k127_3636	2	106.06	201.21	10670.49	573
k127_23365	3	159.09	333.87	17705.19	518
k127_31424	5	265.15	508.36	26958.51	567
k127_15292	2	106.06	213.12	11301.65	541
k127_1848	2	106.06	213.12	11301.65	541
k127_6329	4	212.12	422.33	22396.30	546
k127_17975	6	318.18	398.95	21156.37	867
k127_37711	3	159.09	258.90	13729.47	668
k127_2736	4	212.12	459.34	24359.33	502
k127_9923	3	159.09	280.75	14888.45	616
k127_32335	3	159.09	335.16	17773.81	516
k127_43976	2	106.06	211.16	11198.15	546
k127_31428	2	106.06	215.51	11428.39	535
k127_26060	2	106.06	220.45	11690.61	523
k127_9018	2	106.06	222.15	11780.71	519
k127_39505	2	106.06	201.57	10689.15	572
k127_4521	124	6575.81	2326.17	123358.23	3073
k127_9925	15	795.46	1074.18	56964.51	805
k127_13512	2	106.06	223.44	11849.21	516
k127_33222	2	106.06	228.76	12131.33	504
k127_31431	2	106.06	223.87	11872.22	515
k127_28747	2	106.06	212.33	11260.02	543
k127_17983	2	106.06	226.51	12012.16	509
k127_9930	2	106.06	213.12	11301.65	541
k127_952	2	106.06	220.87	11713.01	522
k127_26972	12	636.37	898.40	47643.05	770
k127_39513	5	265.15	490.20	25995.71	588
k127_17984	3	159.09	322.65	17110.61	536
k127_16190	5	265.15	567.40	30089.52	508
k127_18892	2	106.06	208.49	11056.40	553
k127_26064	4	212.12	399.64	21193.04	577
k127_8127	3	159.09	264.44	14023.37	654
