contig_id	count	cpm	tpm	fpkm	length
k127_109244	7	53.31	84.98	647.17	584
k127_66957	2	15.23	25.87	197.05	548
k127_130388	12	91.39	87.89	669.33	968
k127_84576	3	22.85	36.92	281.21	576
k127_38764	3	22.85	36.80	280.24	578
k127_116292	6	45.69	69.62	530.20	611
k127_172665	6	45.69	56.64	431.36	751
k127_59910	8	60.93	109.07	830.65	520
k127_140958	2	15.23	26.80	204.13	529
k127_24670	2	15.23	27.69	210.91	512
k127_119816	2	15.23	25.55	194.57	555
k127_28195	7	53.31	80.43	612.55	617
k127_102197	5	38.08	49.10	373.91	722
k127_112770	12	91.39	106.21	808.87	801
k127_52861	9	68.54	116.22	885.12	549
k127_17622	2	15.23	27.69	210.91	512
k127_91626	3	22.85	34.58	263.38	615
k127_151529	6	45.69	47.58	362.36	894
k127_77535	4	30.46	46.11	351.17	615
k127_38766	2	15.23	27.75	211.32	511
k127_137442	4	30.46	56.72	431.94	500
k127_42293	6	45.69	67.41	513.40	631
k127_148007	3	22.85	39.90	303.90	533
k127_126872	2	15.23	26.36	200.72	538
k127_52863	4	30.46	56.49	430.22	502
k127_165626	3	22.85	28.06	213.69	758
k127_112773	7	53.31	70.19	534.58	707
k127_24673	4	30.46	46.57	354.63	609
k127_3530	4	30.46	54.85	417.74	517
k127_130393	4	30.46	54.12	412.16	524
k127_116301	4	30.46	52.91	402.93	536
k127_59915	4	30.46	54.54	415.33	520
k127_105725	2	15.23	25.50	194.22	556
k127_38769	6	45.69	66.78	508.56	637
k127_133916	12	91.39	108.51	826.41	784
k127_17627	5	38.08	32.08	244.31	1105
k127_14101	2	15.23	26.50	201.84	535
k127_126874	2	15.23	27.59	210.09	514
k127_81056	5	38.08	37.75	287.50	939
k127_7054	2	15.23	24.75	188.45	573
k127_144488	6	45.69	77.34	589.01	550
k127_66959	60	456.94	107.80	820.97	3946
k127_98679	3	22.85	28.13	214.26	756
k127_140962	55	418.87	191.52	1458.54	2036
k127_56390	2	15.23	28.08	213.83	505
k127_24677	5	38.08	67.91	517.17	522
