contig_id	count	cpm	tpm	fpkm	length
k127_3776	2	114.92	157.74	9063.60	543
k127_4313	24	1378.99	1879.07	107967.83	547
k127_1620	34	1953.57	2623.65	150749.68	555
k127_8252	58	3332.57	3398.05	195245.52	731
k127_7715	19	1091.70	1417.62	81453.95	574
k127_361	101	5803.26	3353.14	192664.69	1290
k127_2161	24	1378.99	1906.96	109570.32	539
k127_8075	2	114.92	166.64	9574.97	514
k127_4853	20	1149.16	1377.08	79124.34	622
k127_8431	36	2068.49	2066.73	118750.14	746
k127_8076	22	1264.08	1522.13	87458.60	619
k127_3424	62	3562.40	3787.85	217642.72	701
k127_4500	26	1493.91	2157.96	123992.13	516
k127_3600	52	2987.82	4201.91	241433.73	530
k127_2162	18	1034.25	1460.02	83889.78	528
k127_1443	8	459.66	584.67	33594.09	586
k127_5214	22	1264.08	1761.12	101190.41	535
k127_5930	58	3332.57	3196.88	183686.58	777
k127_7899	28	1608.83	2266.85	130248.53	529
k127_1444	66	3792.23	2744.27	157680.20	1030
k127_5035	34	1953.57	2628.38	151021.79	554
k127_734	27	1551.37	2050.24	117802.67	564
k127_5571	50	2872.90	3724.10	213979.72	575
k127_1095	10	574.58	764.77	43942.26	560
k127_5752	24	1378.99	2051.60	117881.05	501
k127_2343	38	2183.41	2338.27	134352.21	696
k127_546	26	1493.91	2129.08	122332.58	523
k127_7721	28	1608.83	2319.46	133271.70	517
k127_7009	28	1608.83	2204.34	126657.12	544
k127_4676	8	459.66	577.77	33197.53	593
k127_7904	5	287.29	376.34	21623.61	569
k127_1628	54	3102.74	2449.86	140764.20	944
k127_1812	109	6262.93	2634.40	151367.71	1772
k127_7723	4	229.83	326.30	18748.70	525
k127_2892	47	2700.53	2583.93	148467.32	779
k127_7907	4	229.83	298.45	17148.20	574
k127_5041	74	4251.90	3804.58	218603.54	833
k127_912	24	1378.99	1848.66	106220.15	556
k127_4146	26	1493.91	2166.36	124474.59	514
k127_3251	38	2183.41	2654.87	152543.46	613
k127_3965	30	1723.74	2357.46	135455.06	545
k127_3253	32	1838.66	1745.82	100311.51	785
k127_553	42	2413.24	2391.94	137436.45	752
k127_5403	20	1149.16	1444.42	82993.82	593
k127_6659	30	1723.74	2406.02	138245.33	534
k127_7729	38	2183.41	2587.33	148663.18	629
k127_6833	30	1723.74	2519.25	144750.99	510
k127_8812	2	114.92	170.63	9803.85	502
k127_748	825	47402.90	67171.92	3859567.75	526
k127_557	66	3792.23	3245.23	186464.54	871
k127_3443	28	1608.83	2216.56	127359.47	541
k127_7732	9	517.12	369.20	21213.51	1044
k127_3444	48	2757.99	3167.50	181998.16	649
k127_3611	48	2757.99	3109.99	178694.11	661
k127_380	40	2298.32	2068.95	118877.62	828
k127_3259	32	1838.66	2552.09	146637.87	537
k127_8445	2	114.92	153.78	8835.79	557
k127_918	2	114.92	170.63	9803.85	502
k127_6661	34	1953.57	2642.69	151844.05	551
k127_2721	104	5975.64	8908.05	511839.50	500
k127_6837	16	919.33	774.28	44488.44	885
k127_6662	50	2872.90	3987.63	229121.68	537
k127_4691	82	4711.56	2878.55	165395.80	1220
k127_7382	2	114.92	160.70	9233.65	533
k127_8446	60	3447.48	2608.76	149894.43	985
k127_5410	6	344.75	483.92	27805.27	531
k127_3979	26	1493.91	2191.94	125944.76	508
k127_4155	32	1838.66	2687.20	154401.06	510
