contig_id	count	cpm	tpm	fpkm	length
k127_1549	3	3382.19	3739.72	4216144.17	549
k127_5179	6	6764.37	6983.35	7873003.90	588
k127_2213	6	6764.37	8067.21	9094943.60	509
k127_2540	8	9019.17	10884.59	12271242.66	503
k127_2440	4	4509.58	4631.94	5222026.28	591
k127_3976	6	6764.37	7493.09	8447675.72	548
k127_4195	4	4509.58	5264.37	5935033.71	520
k127_5184	6	6764.37	6193.38	6982392.60	663
k127_1886	8	9019.17	9990.78	11263567.62	548
k127_2983	8	9019.17	9622.06	10847864.78	569
k127_4307	4	4509.58	5284.70	5957948.90	518
k127_234	8	9019.17	8257.84	9309856.80	663
k127_1235	14	15783.54	15968.60	18002935.59	600
k127_567	7	7891.77	9467.55	10673677.23	506
k127_4871	4	4509.58	5357.09	6039564.64	511
k127_1570	10	11273.96	12511.31	14105198.95	547
k127_1346	11	12401.35	8763.74	9880207.46	859
k127_2560	6	6764.37	7791.67	8784300.37	527
k127_2992	2	2254.79	2732.01	3080057.41	501
k127_914	2	2254.79	2597.22	2928100.12	527
k127_3446	6	6764.37	7732.98	8718128.61	531
k127_1460	8	9019.17	8649.21	9751082.24	633
k127_1024	8	9019.17	10928.04	12320229.66	501
k127_4218	8	9019.17	6003.23	6768020.90	912
k127_1800	4	4509.58	5474.95	6172435.06	500
k127_796	12	13528.75	12006.47	13536041.79	684
k127_4107	4	4509.58	3955.89	4459851.92	692
k127_2458	8	9019.17	7438.79	8386460.68	736
k127_2121	8	9019.17	9954.45	11222609.20	550
k127_3338	16	18038.33	19346.11	21810724.59	566
k127_3553	8	9019.17	8859.14	9987758.99	618
k127_2687	14	15783.54	19010.24	21432066.18	504
k127_705	10	11273.96	10693.26	12055537.22	640
k127_2574	8	9019.17	10027.38	11304826.11	546
k127_2796	2	2254.79	2484.10	2800560.37	551
k127_2474	4	4509.58	5378.14	6063295.74	509
k127_4560	18	20293.12	11322.28	12764686.47	1088
k127_3345	4	4509.58	5013.69	5652413.06	546
k127_159	14	15783.54	18284.66	20614048.38	524
k127_4453	6	6764.37	8067.21	9094943.60	509
k127_720	10	11273.96	13632.84	15369609.21	502
k127_3356	8	9019.17	9248.23	10426410.57	592
k127_392	4	4509.58	5399.36	6087214.06	507
k127_5452	20	22547.91	17325.79	19533022.34	790
k127_3143	6	6764.37	8083.10	9112847.04	508
k127_60	8	9019.17	10271.95	11580553.58	533
k127_3795	6	6764.37	7242.00	8164596.64	567
k127_2486	12	13528.75	8792.75	9912904.27	934
k127_5120	5	5636.98	5703.07	6429619.85	600
k127_727	8	9019.17	10928.04	12320229.66	501
k127_3032	10	11273.96	11330.61	12774079.18	604
k127_1281	8	9019.17	7657.27	8632776.31	715
k127_4462	10	11273.96	13551.86	15278304.60	505
k127_504	2	2254.79	2668.10	3008009.29	513
k127_2718	16	18038.33	11723.66	13217205.69	934
k127_5125	10	11273.96	12650.07	14261633.68	541
k127_834	2	2254.79	2572.81	2900580.38	532
