contig_id	count	cpm	tpm	fpkm	length
k127_3330	4	20.47	106.98	547.56	512
k127_6438	1421	7273.30	21643.85	110782.77	899
k127_2448	4	20.47	101.81	521.09	538
k127_7990	8	40.95	215.64	1103.73	508
k127_6661	23	117.72	424.45	2172.51	742
k127_1113	13	66.54	203.21	1040.10	876
k127_4443	3	15.36	76.21	390.09	539
k127_1343	21	107.49	544.61	2787.55	528
k127_10419	4894	25049.65	27969.02	143157.80	2396
k127_10643	2	10.24	49.79	254.86	550
k127_3782	2	10.24	53.49	273.78	512
k127_9319	2	10.24	48.99	250.76	559
k127_5110	109	557.91	908.98	4652.55	1642
k127_4667	2	10.24	52.16	267.00	525
k127_6443	4	20.47	87.64	448.56	625
k127_2671	3	15.36	80.55	412.28	510
k127_1783	2	10.24	48.99	250.76	559
k127_2892	4	20.47	76.71	392.64	714
k127_7114	2	10.24	54.45	278.68	503
k127_9543	20	102.37	278.88	1427.44	982
k127_6444	4	20.47	72.35	370.34	757
k127_9322	4	20.47	87.08	445.70	629
k127_4892	2	10.24	49.34	252.57	555
k127_7561	4	20.47	71.41	365.51	767
k127_5561	671	3434.47	12057.79	61717.08	762
k127_3785	1137	5819.67	16758.88	85779.32	929
k127_7123	26	133.08	691.30	3538.38	515
k127_1790	2	10.24	52.77	270.09	519
k127_2900	6	30.71	143.38	733.90	573
k127_456	2	10.24	52.56	269.05	521
k127_5115	6	30.71	118.73	607.69	692
k127_6890	4	20.47	83.24	426.06	658
k127_5564	16	81.90	181.97	931.39	1204
k127_4676	2	10.24	49.88	255.33	549
k127_5565	4	20.47	105.33	539.13	520
k127_9990	23	117.72	200.47	1026.10	1571
k127_3122	2	10.24	53.80	275.39	509
k127_8221	4	20.47	105.13	538.10	521
k127_2016	2	10.24	51.77	264.98	529
k127_7573	14	71.66	243.28	1245.20	788
k127_9556	2	10.24	49.26	252.11	556
k127_9332	9333	47770.41	51802.69	265148.98	2467
k127_9557	6	30.71	157.09	804.06	523
k127_7786	4	20.47	104.73	536.04	523
k127_8668	2	10.24	50.90	260.55	538
k127_8225	2	10.24	48.90	250.31	560
k127_7344	4	20.47	94.60	484.19	579
k127_8890	2	10.24	52.36	268.02	523
k127_6455	7	35.83	116.61	596.85	822
k127_3569	27	138.20	375.72	1923.12	984
k127_2466	20	102.37	343.61	1758.77	797
k127_2469	2	10.24	52.67	269.57	520
k127_7790	18	92.13	349.11	1786.92	706
k127_5349	3	15.36	76.36	390.82	538
k127_6020	2	10.24	52.67	269.57	520
k127_10002	4	20.47	83.37	426.71	657
k127_6235	6	30.71	145.41	744.29	565
k127_2261	2	10.24	51.00	261.03	537
k127_688	2	10.24	54.23	277.57	505
k127_3574	16	81.90	321.72	1646.69	681
k127_10653	48698	249257.83	52830.31	270408.79	12622
k127_469	52	266.16	784.18	4013.80	908
k127_10654	33	168.91	794.15	4064.80	569
k127_7581	6	30.71	156.49	800.99	525
k127_472	2	10.24	54.77	280.35	500
k127_473	4	20.47	99.41	508.80	551
k127_2475	2	10.24	50.71	259.58	540
k127_10892	39	199.62	485.48	2484.90	1100
k127_4020	18	92.13	200.71	1027.33	1228
k127_2476	3	15.36	81.83	418.85	502
k127_2917	6	30.71	157.69	807.14	521
k127_8457	8	40.95	165.98	849.54	660
k127_3361	8	40.95	148.84	761.82	736
k127_8018	2	10.24	49.26	252.11	556
k127_8903	2	10.24	54.77	280.35	500
k127_1805	2	10.24	53.07	271.66	516
k127_6690	60	307.11	1443.91	7390.55	569
k127_8020	28	143.32	687.11	3516.91	558
k127_5809	1583	8102.49	30921.68	158270.78	701
k127_5363	2	10.24	52.26	267.51	524
k127_8242	2	10.24	52.16	267.00	525
k127_923	21	107.49	556.20	2846.86	517
k127_6249	8	40.95	184.11	942.35	595
k127_10455	6	30.71	146.45	749.59	561
k127_6250	2	10.24	52.16	267.00	525
k127_2925	9	46.07	206.43	1056.59	597
k127_2486	15	76.78	293.42	1501.87	700
k127_2488	10	51.18	242.78	1242.68	564
k127_10457	3	15.36	76.36	390.82	538
k127_4486	8	40.95	213.54	1092.98	513
k127_2276	2	10.24	50.71	259.58	540
k127_8246	6	30.71	128.17	656.04	641
k127_2035	15	76.78	286.07	1464.21	718
k127_10021	40	204.74	1045.27	5350.16	524
k127_10678	2	10.24	51.38	262.99	533
