contig_id	count	cpm	tpm	fpkm	length
k127_10379	2	5.49	24.51	67.26	531
k127_11083	10	27.44	62.69	172.04	1038
k127_10143	2	5.49	24.65	67.64	528
k127_4484	2	5.49	22.79	62.55	571
k127_5429	1326	3638.95	15111.21	41469.77	571
k127_10614	32	87.82	198.50	544.75	1049
k127_6846	4	10.98	50.35	138.16	517
k127_1890	5	13.72	49.83	136.74	653
k127_9205	2	5.49	22.67	62.22	574
k127_6613	7	19.21	69.02	189.40	660
k127_8739	4460	12239.60	18857.67	51751.21	1539
k127_7081	928	2546.71	2544.73	6983.52	2373
k127_4487	4	10.98	38.05	104.43	684
k127_4017	28	76.84	117.47	322.38	1551
k127_7795	8533	23417.15	36796.32	100980.32	1509
k127_2604	2	5.49	23.45	64.35	555
k127_1188	92	252.48	398.31	1093.08	1503
k127_2373	9	24.70	101.50	278.54	577
k127_7797	5	13.72	55.24	151.59	589
k127_5671	14	38.42	116.20	318.89	784
k127_7085	4	10.98	43.02	118.07	605
k127_2605	12	32.93	153.41	421.01	509
k127_4492	248	680.59	1484.62	4074.24	1087
k127_2376	6	16.47	47.15	129.40	828
k127_8507	318	872.69	3681.99	10104.51	562
k127_6382	33	90.56	207.88	570.48	1033
k127_10624	3	8.23	36.29	99.58	538
k127_5439	2	5.49	24.51	67.26	531
k127_9449	17	46.65	142.74	391.72	775
k127_248	6	16.47	50.97	139.88	766
k127_1194	8	21.95	71.61	196.51	727
k127_3316	13	35.68	117.49	322.43	720
k127_4496	4	10.98	48.83	134.02	533
k127_10626	56	153.68	302.66	830.59	1204
k127_11332	1774	4868.40	13808.27	37894.10	836
k127_2131	97	266.20	143.98	395.12	4384
k127_1661	1496	4105.48	10627.42	29164.89	916
k127_6388	98	268.94	973.59	2671.83	655
k127_6152	2	5.49	25.98	71.29	501
k127_8981	16	43.91	116.59	319.96	893
k127_1904	6	16.47	72.57	199.16	538
k127_3082	4	10.98	43.45	119.25	599
k127_10857	6	16.47	51.92	142.48	752
k127_9453	376	1031.86	3301.88	9061.37	741
k127_8513	5	13.72	41.03	112.60	793
k127_10629	27	74.10	282.01	773.93	623
k127_6153	22	60.37	151.01	414.42	948
k127_5911	2	5.49	22.21	60.95	586
k127_8514	4	10.98	36.97	101.46	704
k127_8984	28	76.84	291.06	798.74	626
k127_7329	4	10.98	38.73	106.30	672
k127_1200	4	10.98	45.91	125.98	567
k127_8516	5	13.72	57.28	157.20	568
k127_10396	24	65.86	168.11	461.34	929
k127_2851	94	257.96	269.22	738.83	2272
k127_5445	16	43.91	130.63	358.50	797
k127_10860	7	19.21	43.80	120.20	1040
k127_9694	4	10.98	41.98	115.21	620
k127_4024	2	5.49	25.87	71.00	503
k127_1430	6	16.47	77.62	213.01	503
k127_4973	4	10.98	36.45	100.04	714
k127_3320	8	21.95	73.95	202.93	704
k127_8043	4256	11679.76	25882.71	71030.04	1070
k127_7095	30	82.33	332.56	912.66	587
k127_486	12	32.93	88.94	244.07	878
k127_10400	6	16.47	41.98	115.21	930
k127_2852	12	32.93	126.56	347.31	617
k127_5206	2	5.49	25.03	68.68	520
k127_5449	4	10.98	45.11	123.80	577
k127_10401	30	82.33	268.89	737.92	726
k127_5916	2	5.49	26.03	71.43	500
