contig_id	count	cpm	tpm	fpkm	length
k127_7288	2	35.07	81.58	1430.78	532
k127_3645	5	87.69	187.73	3292.27	578
k127_12754	13	227.99	264.90	4645.66	1065
k127_78346	2	35.07	78.63	1378.94	552
k127_40085	2	35.07	86.29	1513.27	503
k127_76525	5	87.69	211.51	3709.42	513
k127_87452	4	70.15	133.75	2345.68	649
k127_1822	4	70.15	168.23	2950.28	516
k127_78349	5	87.69	177.01	3104.30	613
k127_87453	3	52.61	114.22	2003.09	570
k127_14584	7	122.76	185.03	3244.95	821
k127_30978	2	35.07	82.36	1444.35	527
k127_67418	8	140.30	235.25	4125.60	738
k127_74708	10	175.37	231.61	4061.76	937
k127_76530	2	35.07	84.28	1478.01	515
k127_80173	9	157.84	372.73	6536.80	524
k127_71061	28	491.05	423.15	7420.91	1436
k127_85631	2	35.07	78.63	1378.94	552
k127_54666	7	122.76	207.24	3634.53	733
k127_80174	4	70.15	154.46	2708.80	562
k127_10936	2	35.07	84.94	1489.58	511
k127_21866	11	192.91	322.59	5657.37	740
k127_58313	6	105.22	240.68	4220.93	541
k127_87459	8	140.30	247.31	4337.17	702
k127_10938	2	35.07	82.99	1455.40	523
k127_45557	3	52.61	91.05	1596.87	715
k127_27338	6	105.22	167.36	2935.12	778
k127_72891	2	35.07	85.78	1504.30	506
k127_63778	4	70.15	161.65	2834.91	537
k127_81995	2	35.07	80.82	1417.46	537
k127_30981	2	35.07	82.99	1455.40	523
k127_20046	52	911.94	496.69	8710.61	2272
k127_7297	2	35.07	86.46	1516.28	502
k127_47380	2	35.07	79.06	1386.47	549
k127_21868	2	35.07	85.78	1504.30	506
k127_74715	2	35.07	82.05	1438.89	529
k127_12767	11	192.91	293.62	5149.39	813
k127_51029	11	192.91	203.68	3572.06	1172
k127_60134	2	35.07	83.15	1458.19	522
k127_41922	4	70.15	163.48	2866.94	531
k127_9131	2	35.07	86.12	1510.26	504
k127_18234	3	52.61	97.90	1716.93	665
k127_45562	5	87.69	163.41	2865.86	664
k127_76540	2	35.07	83.15	1458.19	522
k127_89285	2	35.07	86.81	1522.35	500
k127_74718	4	70.15	118.75	2082.55	731
k127_69248	2	35.07	86.81	1522.35	500
k127_72896	2	35.07	76.82	1347.21	565
k127_40095	4	70.15	167.26	2933.23	519
k127_14595	7	122.76	244.62	4290.03	621
k127_69249	5	87.69	167.45	2936.63	648
k127_3663	2	35.07	76.01	1333.05	571
k127_5480	2	35.07	84.44	1480.88	514
k127_54677	2	35.07	84.28	1478.01	515
k127_65611	2	35.07	77.78	1364.11	558
