contig_id	count	cpm	tpm	fpkm	length
k127_246744	6	19.43	29.97	97.06	668
k127_287861	5	16.19	23.50	76.10	710
k127_199750	2	6.48	12.43	40.24	537
k127_240872	3	9.71	18.75	60.71	534
k127_5879	2	6.48	12.45	40.32	536
k127_170376	2	6.48	12.29	39.80	543
k127_64631	4	12.95	25.77	83.44	518
k127_193877	21	68.00	92.20	298.58	760
k127_35250	109	352.97	270.82	877.00	1343
k127_211505	3	9.71	17.00	55.04	589
k127_47006	10	32.38	37.58	121.69	888
k127_29380	9	29.14	56.34	182.46	533
k127_152752	2	6.48	11.96	38.73	558
k127_111630	2	6.48	12.50	40.47	534
k127_41127	2	6.48	11.96	38.73	558
k127_240873	7	22.67	23.31	75.49	1002
k127_170377	2	6.48	13.19	42.71	506
k127_193878	4	12.95	17.73	57.40	753
k127_99877	3	9.71	13.56	43.93	738
k127_123377	2	6.48	11.90	38.52	561
k127_164503	17	55.05	67.13	217.39	845
k127_211506	11	35.62	38.35	124.20	957
k127_82255	2	6.48	12.00	38.87	556
k127_270243	2	6.48	13.11	42.46	509
k127_64633	6	19.43	35.62	115.36	562
k127_129255	4	12.95	22.82	73.88	585
k127_235002	6	19.43	36.47	118.09	549
k127_141007	2	6.48	11.81	38.25	565
k127_17631	9	29.14	42.96	139.13	699
k127_158630	3	9.71	19.74	63.94	507
k127_35255	2	6.48	13.19	42.71	506
k127_76382	2	6.48	12.27	39.73	544
k127_199755	70	226.68	372.53	1206.37	627
k127_111632	38	123.06	230.55	746.57	550
k127_276120	7	22.67	37.02	119.87	631
k127_123378	4	12.95	19.20	62.19	695
k127_29386	8	25.91	38.58	124.92	692
k127_182130	2	6.48	12.83	41.56	520
k127_264372	10	32.38	46.54	150.71	717
k127_146879	16	51.81	60.88	197.14	877
k127_17632	8	25.91	46.18	149.56	578
k127_287870	2	6.48	13.11	42.46	509
k127_76384	6	19.43	32.98	106.81	607
k127_105757	5	16.19	32.15	104.10	519
k127_270244	10	32.38	29.90	96.82	1116
k127_11760	11	35.62	56.21	182.02	653
k127_117509	8	25.91	47.08	152.46	567
k127_52886	4	12.95	25.38	82.17	526
k127_264375	5	16.19	31.19	100.99	535
k127_41136	4	12.95	26.33	85.25	507
k127_76386	8	25.91	47.50	153.82	562
k127_82261	4	12.95	25.42	82.33	525
k127_58761	11	35.62	45.43	147.11	808
k127_240883	6	19.43	32.09	103.90	624
k127_276122	9	29.14	33.22	107.58	904
k127_135133	8	25.91	39.67	128.45	673
k127_82262	2	6.48	12.22	39.58	546
k127_52889	2	6.48	11.73	37.98	569
k127_47017	8	25.91	41.84	135.49	638
k127_70520	4	12.95	26.64	86.27	501
k127_217382	8	25.91	34.62	112.12	771
k127_264378	3	9.71	19.90	64.45	503
k127_176265	9	29.14	55.10	178.44	545
k127_188016	7	22.67	29.95	96.97	780
k127_281997	6	19.43	29.75	96.34	673
k127_82263	6	19.43	34.52	111.78	580
k127_240884	20	64.77	95.47	309.17	699
k127_164510	23	74.48	51.61	167.14	1487
k127_211512	7	22.67	35.34	114.43	661
k127_58765	4	12.95	21.88	70.86	610
k127_264379	8	25.91	48.98	158.62	545
k127_229131	34	110.10	53.69	173.87	2113
k127_270249	2	6.48	12.43	40.24	537
k127_287877	2	6.48	12.36	40.02	540
k127_158633	4	12.95	16.12	52.20	828
k127_129267	5	16.19	30.56	98.95	546
k127_5895	9	29.14	41.89	135.64	717
k127_41141	23	74.48	148.45	480.72	517
k127_182139	11	35.62	49.27	159.55	745
k127_258505	38	123.06	66.60	215.66	1904
k127_17637	23	74.48	60.67	196.47	1265
k127_23520	4	12.95	24.40	79.02	547
k127_235016	10	32.38	48.86	158.21	683
k127_158634	17	55.05	109.93	356.00	516
k127_246755	2	6.48	12.34	39.95	541
k127_17638	10	32.38	51.49	166.75	648
k127_58768	20	64.77	132.94	430.50	502
k127_41143	2	6.48	12.57	40.70	531
k127_282000	6	19.43	30.71	99.44	652
k127_23522	2	6.48	11.75	38.05	568
k127_135138	2	6.48	12.36	40.02	540
k127_188019	6	19.43	37.42	121.18	535
k127_11769	4	12.95	21.15	68.50	631
k127_217385	3	9.71	16.17	52.37	619
k127_287878	18	58.29	43.43	140.64	1383
k127_141019	2	6.48	12.11	39.22	551
k127_5897	40	129.53	97.64	316.19	1367
k127_252632	7	22.67	31.48	101.94	742
k127_276131	2	6.48	12.43	40.24	537
k127_123387	4	12.95	19.20	62.19	695
k127_117519	12	38.86	36.80	119.18	1088
k127_94020	14	45.34	33.56	108.68	1392
k127_52897	2	6.48	12.38	40.10	539
k127_47028	4	12.95	26.48	85.76	504
k127_264380	49	158.68	71.97	233.04	2272
k127_47029	5	16.19	32.02	103.70	521
k127_199772	5	16.19	27.76	89.90	601
k127_246760	2	6.48	12.76	41.32	523
k127_105762	28	90.67	46.83	151.66	1995
k127_287882	2	6.48	12.52	40.55	533
k127_76401	4	12.95	24.63	79.75	542
k127_164521	6	19.43	27.77	89.92	721
k127_193894	13	42.10	40.62	131.53	1068
k127_188025	4	12.95	21.56	69.83	619
k127_235024	8	25.91	39.14	126.75	682
k127_211525	8	25.91	20.35	65.89	1312
k127_276136	6	19.43	26.27	85.08	762
k127_29408	3	9.71	17.50	56.67	572
k127_235025	5	16.19	31.30	101.37	533
k127_58778	4	12.95	22.89	74.14	583
k127_70534	2	6.48	12.59	40.78	530
k127_252637	2	6.48	13.01	42.13	513
k127_76403	3	9.71	12.74	41.24	786
k127_82276	7	22.67	43.66	141.38	535
k127_164525	2	6.48	12.45	40.32	536
k127_229141	2	6.48	12.11	39.22	551
k127_17649	3	9.71	15.03	48.67	666
k127_94026	5	16.19	27.49	89.01	607
k127_270257	6	19.43	36.60	118.53	547
k127_235026	4	12.95	24.31	78.73	549
k127_240892	58	187.82	63.27	204.88	3059
k127_211529	4	12.95	18.88	61.14	707
k127_264387	7	22.67	39.39	127.55	593
k127_117530	15	48.57	85.41	276.60	586
k127_129282	6	19.43	36.67	118.74	546
k127_58781	2	6.48	12.57	40.70	531
k127_152774	4	12.95	19.54	63.28	683
k127_270258	2	6.48	13.11	42.46	509
k127_141024	13	42.10	59.92	194.02	724
k127_176282	14	45.34	50.83	164.61	919
k127_199782	7	22.67	30.53	98.88	765
k127_246769	9	29.14	40.10	129.84	749
k127_223279	7	22.67	43.18	139.81	541
k127_264388	9	29.14	40.31	130.54	745
k127_94027	6	19.43	20.86	67.54	960
k127_146896	9	29.14	43.27	140.13	694
k127_287889	4	12.95	26.33	85.25	507
k127_41161	4	12.95	25.14	81.40	531
k127_88151	2	6.48	12.52	40.55	533
k127_199784	4	12.95	23.62	76.50	565
k127_29411	60	194.30	84.30	272.98	2375
k127_35289	2	6.48	12.64	40.93	528
k127_252641	4	12.95	24.63	79.75	542
k127_258525	11	35.62	47.79	154.77	768
k127_240896	6	19.43	32.82	106.29	610
k127_105767	8	25.91	41.26	133.61	647
k127_70544	2	6.48	12.07	39.08	553
k127_11787	3	9.71	16.66	53.94	601
k127_270260	12	38.86	57.37	185.77	698
k127_135152	3	9.71	16.80	54.39	596
k127_141026	2	6.48	12.45	40.32	536
k127_188034	34	110.10	58.45	189.28	1941
k127_64670	4	12.95	19.98	64.70	668
k127_164531	2	6.48	13.14	42.54	508
k127_211536	6	19.43	24.60	79.65	814
k127_41165	6	19.43	38.14	123.49	525
k127_158644	8	25.91	24.95	80.79	1070
k127_52909	2	6.48	12.45	40.32	536
k127_29415	2	6.48	12.69	41.09	526
k127_146900	4	12.95	25.14	81.40	531
k127_258531	3	9.71	17.75	57.48	564
k127_152779	8	25.91	34.67	112.27	770
k127_111659	8	25.91	24.63	79.75	1084
k127_229143	33	106.86	33.10	107.18	3327
k127_164536	4	12.95	22.28	72.16	599
k127_182156	4	12.95	22.39	72.52	596
k127_76416	6	19.43	37.08	120.06	540
k127_94032	6	19.43	25.22	81.65	794
k127_123395	19	61.53	38.01	123.09	1668
k127_88157	7	22.67	32.71	105.94	714
k127_64676	4	12.95	18.99	61.48	703
k127_129299	7	22.67	44.41	143.80	526
k127_211537	40	129.53	60.86	197.09	2193
k127_117538	11	35.62	59.68	193.27	615
k127_199792	16	51.81	36.79	119.15	1451
k127_58793	3	9.71	18.04	58.41	555
k127_52911	16	51.81	33.71	109.15	1584
k127_246778	2	6.48	13.22	42.79	505
k127_47047	2	6.48	12.47	40.39	535
k127_287898	2	6.48	13.29	43.05	502
k127_82287	24	77.72	104.96	339.89	763
k127_29421	2	6.48	12.22	39.58	546
k127_217399	8	25.91	21.37	69.21	1249
k127_276139	80	259.06	71.76	232.38	3720
k127_282021	7	22.67	39.66	128.42	589
k127_164540	2	6.48	12.22	39.58	546
k127_240903	27	87.43	56.56	183.15	1593
k127_152780	15	48.57	39.79	128.84	1258
k127_252646	6	19.43	26.69	86.45	750
k127_176295	8	25.91	37.39	121.07	714
k127_264399	3	9.71	19.82	64.19	505
k127_146903	7	22.67	34.55	111.89	676
k127_141032	3	9.71	13.96	45.21	717
k127_199794	5	16.19	24.29	78.64	687
k127_164542	2	6.48	13.16	42.63	507
k127_47049	8	25.91	33.88	109.70	788
k127_235036	2	6.48	13.01	42.13	513
k127_258535	107	346.50	176.49	571.53	2023
k127_82290	4	12.95	24.14	78.16	553
k127_158647	5	16.19	20.35	65.89	820
k127_135159	7	22.67	29.12	94.31	802
k127_29425	3	9.71	19.82	64.19	505
k127_76420	4	12.95	22.93	74.27	582
k127_188042	5	16.19	32.46	105.11	514
k127_287900	4	12.95	22.55	73.01	592
k127_99912	2	6.48	12.54	40.62	532
k127_117542	6	19.43	35.19	113.94	569
k127_246780	9	29.14	20.91	67.72	1436
k127_17670	2	6.48	11.94	38.66	559
k127_270267	2	6.48	13.16	42.63	507
k127_94036	13	42.10	46.85	151.70	926
k127_58797	2	6.48	11.87	38.45	562
k127_5927	12	38.86	41.37	133.95	968
k127_11805	12	38.86	56.80	183.93	705
k127_141033	13	42.10	55.12	178.49	787
k127_217402	2	6.48	13.03	42.21	512
k127_76421	8	25.91	45.87	148.53	582
k127_135161	8	25.91	45.48	147.27	587
k127_52919	5	16.19	30.39	98.41	549
k127_111667	17	55.05	99.87	323.41	568
k127_123402	2	6.48	12.78	41.40	522
k127_146906	2	6.48	13.09	42.38	510
k127_152784	14	45.34	49.23	159.41	949
k127_240909	4	12.95	21.85	70.74	611
k127_105776	35	113.34	95.42	308.99	1224
k127_223297	7	22.67	38.23	123.80	611
k127_17675	2	6.48	12.66	41.01	527
k127_252650	11	35.62	64.51	208.90	569
k127_23555	6	19.43	26.48	85.76	756
k127_211546	2	6.48	12.18	39.44	548
k127_76423	10	32.38	42.56	137.83	784
k127_123403	5	16.19	28.18	91.26	592
k127_199803	10	32.38	42.56	137.83	784
k127_176302	22	71.24	112.59	364.61	652
k127_5929	12	38.86	25.09	81.25	1596
