contig_id	count	cpm	tpm	fpkm	length
k127_4655	2	116.04	180.20	10454.95	508
k127_3185	2	116.04	157.02	9109.97	583
k127_7340	4	232.07	331.68	19243.17	552
k127_4167	22	1276.40	1966.73	114105.97	512
k127_3920	20	1160.36	1679.68	97451.64	545
k127_9049	3	174.05	221.47	12849.47	620
k127_9782	2	116.04	164.94	9569.58	555
k127_6123	2	116.04	177.06	10272.95	517
k127_6124	2	116.04	158.65	9204.70	577
k127_6126	3	174.05	265.60	15409.42	517
k127_3438	20	1160.36	1546.32	89714.77	592
k127_8810	2	116.04	161.45	9367.04	567
k127_10273	2	116.04	163.76	9501.10	559
k127_5391	36	2088.65	1288.32	74745.94	1279
k127_7101	22	1276.40	1566.04	90858.88	643
k127_5151	7	406.13	633.20	36736.96	506
k127_7591	62	3597.12	3490.55	202514.81	813
k127_9053	36	2088.65	2860.70	165972.32	576
k127_9789	4	232.07	352.09	20427.36	520
k127_6860	12	696.22	915.42	53111.14	600
k127_7594	4	232.07	350.74	20349.10	522
k127_8082	2	116.04	163.18	9467.23	561
k127_11746	14	812.25	896.22	51996.92	715
k127_6617	84	4873.52	2879.98	167091.24	1335
k127_2459	2	116.04	175.37	10174.55	522
k127_10275	13	754.24	765.80	44430.17	777
k127_7596	2	116.04	177.75	10312.84	515
k127_3196	18	1044.33	1036.33	60125.82	795
k127_2952	4	232.07	286.07	16597.23	640
k127_5154	22	1276.40	1854.45	107591.63	543
k127_2464	18	1044.33	1563.34	90702.14	527
k127_11498	16	928.29	1424.78	82663.26	514
k127_11256	30	1740.54	1642.51	95295.11	836
k127_11007	2	116.04	176.38	10233.36	519
k127_11499	24	1392.43	2064.87	119799.57	532
k127_7353	2	116.04	179.49	10413.95	510
k127_1974	26	1508.47	1603.84	93051.87	742
k127_4423	52	3016.94	2964.01	171966.34	803
k127_6623	44	2552.80	2568.79	149036.37	784
k127_6867	22	1276.40	1637.34	94995.54	615
k127_11010	10	580.18	791.89	45943.90	578
k127_4184	30	1740.54	2650.84	153796.75	518
k127_8332	19	1102.34	1653.33	95923.17	526
k127_6625	5	290.09	295.30	17132.63	775
k127_11260	17	986.31	856.01	49663.89	909
k127_9308	4	232.07	362.54	21034.12	505
k127_5650	219	12705.96	7054.11	409266.02	1421
k127_7355	12	696.22	794.87	46116.77	691
k127_257	16	928.29	1027.12	59591.75	713
k127_1738	12	696.22	1070.67	62118.30	513
k127_9058	2	116.04	177.75	10312.84	515
k127_9310	101	5859.83	2548.45	147856.27	1814
k127_7357	16	928.29	842.74	48894.03	869
k127_9555	55	3191.00	1597.34	92674.90	1576
k127_5403	2	116.04	167.35	9709.53	547
k127_757	40	2320.72	2511.45	145709.58	729
k127_5898	27	1566.49	2461.80	142828.77	502
k127_8097	24	1392.43	1833.90	106399.62	599
k127_11265	24	1392.43	2188.26	126958.91	502
k127_262	2	116.04	156.48	9078.83	585
k127_9559	24	1392.43	1833.90	106399.62	599
k127_10287	24	1392.43	1947.71	113002.43	564
k127_11508	26	1508.47	2187.59	126920.01	544
k127_5406	50	2900.91	2250.30	130558.37	1017
k127_2475	54	3132.98	3640.12	211193.06	679
k127_263	2	116.04	169.21	9817.22	541
k127_4676	4	232.07	363.99	21117.75	503
k127_8591	2	116.04	162.31	9416.87	564
k127_3217	2	116.04	156.75	9094.37	584
k127_7615	2	116.04	161.74	9383.59	566
k127_6385	4	232.07	296.25	17188.07	618
k127_9562	24	1392.43	1954.64	113404.58	562
k127_9070	4	232.07	334.10	19383.63	548
k127_6876	6	348.11	520.13	30176.79	528
k127_11023	2	116.04	155.42	9017.17	589
k127_6637	24	1392.43	1100.71	63861.09	998
k127_10532	58	3365.05	1837.18	106589.84	1445
k127_516	4	232.07	272.85	15830.45	671
k127_2479	24	1392.43	2166.68	125706.85	507
k127_7117	17	986.31	1077.71	62526.97	722
k127_1749	31	1798.56	1904.57	110499.69	745
k127_5410	2	116.04	179.49	10413.95	510
k127_4199	4	232.07	277.82	16118.71	659
k127_9319	8	464.14	694.82	40312.06	527
k127_4930	6	348.11	533.26	30938.53	515
k127_6387	33	1914.60	2955.87	171493.91	511
k127_9320	8	464.14	709.63	41171.43	516
k127_3219	54	3132.98	1721.20	99860.78	1436
k127_4433	24	1392.43	2158.17	125212.91	509
k127_6879	18	1044.33	1637.93	95029.88	503
k127_10790	2	116.04	161.17	9350.55	568
k127_10540	5	290.09	354.27	20553.85	646
k127_8103	2	116.04	169.21	9817.22	541
k127_7862	34	1972.62	2161.42	125401.31	720
k127_1993	8	464.14	603.24	34999.11	607
k127_3949	2	116.04	164.35	9535.21	557
k127_10301	2	116.04	181.63	10537.93	504
k127_5908	54	3132.98	3694.53	214349.91	669
k127_268	22	1276.40	1978.32	114778.50	509
k127_10055	34	1972.62	2401.57	139334.79	648
k127_2978	32	1856.58	1998.20	115931.55	733
k127_11031	2	116.04	157.02	9109.97	583
k127_1250	4	232.07	232.93	13514.29	786
k127_8596	9	522.16	472.95	27439.74	871
k127_9566	28	1624.51	2542.84	147530.95	504
k127_7121	2	116.04	182.36	10579.91	502
k127_9076	25	1450.45	1959.38	113679.67	584
k127_44	43	2494.78	3792.22	220017.26	519
k127_7626	22	1276.40	1962.90	113883.54	513
k127_5417	40	2320.72	2661.12	154392.86	688
k127_9567	14	812.25	1075.16	62378.86	596
k127_8349	8	464.14	709.63	41171.43	516
k127_11771	6	348.11	512.36	29726.39	536
k127_7370	2	116.04	171.11	9927.32	535
k127_1994	138	8006.50	2443.49	141766.69	2585
k127_7868	48	2784.87	3009.61	174611.98	730
k127_1013	16	928.29	916.57	53177.62	799
k127_12004	32	1856.58	2277.88	132158.37	643
k127_8107	4	232.07	324.04	18800.40	565
k127_46	11	638.20	939.33	54498.37	536
k127_4687	10	580.18	606.24	35172.94	755
k127_47	45	2610.81	4070.56	236166.15	506
k127_5188	28	1624.51	1738.93	100889.55	737
k127_7371	80	4641.45	2268.71	131626.13	1614
k127_4688	51	2958.92	2510.03	145627.33	930
k127_525	36	2088.65	2285.39	132593.70	721
k127_9569	22	1276.40	1885.70	109404.98	534
k127_2726	52	3016.94	2075.07	120391.43	1147
k127_527	40	2320.72	3568.90	207060.99	513
k127_4443	28	1624.51	2161.20	125388.87	593
k127_11042	2	116.04	158.65	9204.70	577
k127_3956	24	1392.43	1615.45	93725.55	680
k127_3719	46	2668.83	2425.66	140732.29	868
k127_11776	2	116.04	166.14	9639.05	551
k127_275	2	116.04	175.71	10194.08	521
k127_8114	2	116.04	173.70	10078.02	527
k127_1260	3	174.05	214.22	12428.50	641
k127_7634	58	3365.05	2128.89	123514.29	1247
k127_1017	16	928.29	1324.30	76833.48	553
k127_10800	22	1276.40	1661.66	96406.37	606
k127_4213	27	1566.49	2234.76	129656.50	553
k127_7132	7	406.13	443.15	25710.79	723
k127_7875	31	1798.56	1935.75	112308.69	733
k127_12009	32	1856.58	1797.15	104267.28	815
k127_9819	22	1276.40	1854.45	107591.63	543
