contig_id	count	cpm	tpm	fpkm	length
k127_3619	2	38.65	127.64	2466.37	519
k127_9823	65	1255.97	3950.46	76333.04	545
k127_4229	10	193.23	576.05	11130.84	575
k127_6225	93	1797.00	5779.46	111673.84	533
k127_4628	2	38.65	115.82	2237.84	572
k127_7825	4	77.29	238.73	4612.78	555
k127_209	95	1835.64	5700.54	110148.92	552
k127_7229	176	3400.77	7161.76	138383.39	814
k127_9631	2	38.65	121.78	2353.03	544
k127_5427	2	38.65	126.67	2447.51	523
k127_9223	763	14743.11	9026.05	174406.32	2800
k127_4029	185	3574.67	6892.89	133188.18	889
k127_820	77	1487.84	4595.46	88796.01	555
k127_4031	47	908.16	2482.91	47976.22	627
k127_8626	177	3420.09	8411.47	162531.00	697
k127_3828	85	1642.42	4607.96	89037.60	611
k127_4436	94	1816.32	5908.11	114159.74	527
k127_6231	2	38.65	114.41	2210.79	579
k127_823	10	193.23	570.11	11015.89	581
k127_1825	12	231.87	604.99	11689.92	657
k127_420	143	2763.12	8870.05	171391.98	534
k127_611	44	850.19	2504.15	48386.63	582
k127_4443	4	77.29	255.28	4932.74	519
k127_3030	2	38.65	118.51	2289.89	559
k127_2226	75	1449.19	3763.99	72729.91	660
k127_8049	116	2241.42	7089.08	136979.13	542
k127_5647	148	2859.74	5583.40	107885.46	878
k127_7047	136	2627.87	7094.09	137075.83	635
k127_4248	112	2164.13	5587.03	107955.72	664
k127_1630	138	2666.51	5692.39	109991.53	803
k127_3642	255	4927.25	6517.28	125930.49	1296
k127_4645	112	2164.13	5842.19	112885.98	635
k127_47	98	1893.61	5775.92	111605.47	562
k127_835	133	2569.90	6204.75	119891.67	710
k127_49	98	1893.61	6479.17	125194.16	501
k127_440	302	5835.41	7322.97	141498.54	1366
k127_7850	60	1159.35	3974.77	76802.78	500
k127_9038	944	18240.49	4875.00	94197.36	6414
k127_2451	76	1468.51	4593.72	88762.34	548
k127_5057	2	38.65	123.59	2388.15	536
k127_8052	2827	54624.85	6203.32	119863.90	15095
k127_3261	2	38.65	126.42	2442.84	524
k127_6059	114	2202.77	7332.11	141675.04	515
k127_4870	67	1294.61	4087.01	78971.55	543
k127_4472	2	38.65	130.66	2524.75	507
k127_6857	123	2376.67	6529.08	126158.42	624
k127_4269	1375	26568.51	7308.13	141211.79	6232
