contig_id	count	cpm	tpm	fpkm	length
k127_7601	4	17.64	123.13	543.07	584
k127_2092	2	8.82	69.14	304.96	520
k127_3421	13	57.34	216.18	953.51	1081
k127_1711	4	17.64	140.17	618.23	513
k127_2854	19	83.80	541.29	2387.45	631
k127_9311	69	304.33	953.41	4205.15	1301
k127_6843	7	30.87	180.54	796.30	697
k127_4945	10	44.11	333.52	1471.03	539
k127_8366	4	17.64	127.72	563.33	563
k127_9313	23	101.44	765.67	3377.10	540
k127_3043	37	163.19	232.16	1023.97	2865
k127_9314	6	26.46	184.38	813.21	585
k127_1908	2	8.82	67.71	298.64	531
k127_6846	12	52.93	224.94	992.14	959
k127_5518	11	48.52	318.43	1404.46	621
k127_2861	24	105.86	465.92	2054.99	926
k127_6465	6	26.46	169.06	745.66	638
k127_4188	3	13.23	97.52	430.14	553
k127_7795	8	35.29	277.63	1224.53	518
k127_3428	10	44.11	212.24	936.11	847
k127_1148	123	542.51	3660.79	16146.47	604
k127_8370	2	8.82	66.33	292.58	542
k127_961	4	17.64	134.66	593.92	534
k127_8559	19	83.80	536.19	2364.96	637
k127_7239	17	74.98	585.44	2582.19	522
k127_9134	15	66.16	515.58	2274.04	523
k127_8560	4	17.64	140.72	620.65	511
k127_4758	4	17.64	83.22	367.08	864
k127_8177	9	39.70	209.03	921.96	774
k127_3242	2	8.82	65.85	290.43	546
k127_6663	3	13.23	78.05	344.23	691
k127_6285	22	97.03	311.16	1372.42	1271
k127_1724	1109	4891.41	20426.24	90093.00	976
k127_7606	18201	80278.22	66340.54	292604.82	4932
k127_5894	2493	10995.75	5579.63	24609.79	8032
k127_2476	324	1429.05	1633.32	7203.99	3566
k127_3808	6	26.46	151.49	668.16	712
k127_2298	12	52.93	378.45	1669.23	570
k127_3434	16	70.57	259.12	1142.89	1110
k127_4576	2	8.82	68.35	301.48	526
k127_4194	2	8.82	69.68	307.32	516
k127_5331	20	88.21	324.78	1432.49	1107
k127_8372	8	35.29	218.56	963.99	658
k127_6850	14	61.75	248.69	1096.87	1012
k127_7996	88	388.14	2149.37	9480.13	736
k127_4957	12	52.93	321.49	1417.97	671
k127_7247	2	8.82	71.34	314.64	504
k127_5335	829	3656.43	22209.50	97958.32	671
k127_4958	6	26.46	93.47	412.24	1154
k127_7612	2	8.82	62.97	277.72	571
k127_4393	4	17.64	123.34	544.00	583
k127_4582	17	74.98	221.77	978.16	1378
k127_8186	693	3056.58	19465.25	85854.40	640
k127_3251	5	22.05	115.68	510.22	777
k127_8187	2	8.82	65.61	289.37	548
k127_4770	8	35.29	184.38	813.21	780
k127_3628	2	8.82	70.08	309.12	513
k127_5533	25	110.27	550.75	2429.18	816
k127_7802	412	1817.19	3146.28	13877.14	2354
k127_9333	7	30.87	200.38	883.79	628
k127_7056	4	17.64	105.13	463.67	684
k127_3252	6	26.46	184.06	811.83	586
k127_6671	26	114.68	499.88	2204.81	935
