seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_4307	562	No terminal repeats	NA	2	11	0.9776	NA	0	3.4366	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae
k127_1115	388	No terminal repeats	NA	2	11	0.9750	NA	0	3.4366	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae
k127_256	761	No terminal repeats	NA	1	11	0.9741	NA	0	1.7183	Unclassified
k127_4816	449	No terminal repeats	NA	1	11	0.9741	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_3438	564	No terminal repeats	NA	1	11	0.9740	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_2405	1995	No terminal repeats	NA	1	11	0.9739	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_239	664	No terminal repeats	NA	1	11	0.9732	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_4672	677	No terminal repeats	NA	1	11	0.9732	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_2456	455	No terminal repeats	NA	1	11	0.9728	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_3077	565	No terminal repeats	NA	1	11	0.9726	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_2561	385	No terminal repeats	NA	1	11	0.9724	NA	0	1.7183	Unclassified
k127_4586	978	No terminal repeats	NA	1	11	0.9721	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_2388	437	No terminal repeats	NA	1	11	0.9717	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_2998	496	No terminal repeats	NA	2	11	0.9715	NA	1	3.4366	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_2458	299	No terminal repeats	NA	1	11	0.9714	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_1891	552	No terminal repeats	NA	1	11	0.9714	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_3728	370	No terminal repeats	NA	1	11	0.9714	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales
