seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_9857	519	No terminal repeats	1	11	0.9936	NA	0	1.7183	NA	NA
k127_10398	284	No terminal repeats	1	11	0.9919	NA	0	1.7183	NA	NA
k127_44310	421	No terminal repeats	1	11	0.9916	NA	0	1.7183	NA	NA
k127_14546	240	No terminal repeats	1	11	0.9899	NA	0	1.7183	NA	NA
k127_20737	301	No terminal repeats	2	11	0.9897	NA	0	2.3939	NA	NA
k127_9152	291	No terminal repeats	1	11	0.9895	NA	0	1.7183	NA	NA
k127_2706	300	No terminal repeats	1	11	0.9894	NA	0	1.7183	NA	NA
k127_27371	499	No terminal repeats	1	11	0.9890	NA	0	1.7183	NA	NA
k127_6306	1662	No terminal repeats	3	11	0.9885	NA	0	2.9580	NA	NA
k127_13557	292	No terminal repeats	1	11	0.9851	NA	0	1.7183	NA	NA
k127_43285	565	No terminal repeats	1	11	0.9828	NA	0	1.7183	NA	NA
k127_43555	350	No terminal repeats	1	11	0.9671	NA	0	1.6286	NA	NA
k127_18087	516	No terminal repeats	1	11	0.9610	NA	1	1.4688	NA	NA
k127_28665	643	No terminal repeats	3	11	0.9565	NA	0	1.7183	NA	NA
k127_3759	499	No terminal repeats	1	11	0.9523	NA	0	1.6319	NA	NA
k127_3853	277	No terminal repeats	1	11	0.9486	NA	0	1.6155	NA	NA
k127_32990	283	No terminal repeats	1	11	0.9415	NA	0	0.8817	NA	NA
k127_8102	272	No terminal repeats	1	11	0.9382	NA	0	0.3322	NA	NA
k127_44738	463	No terminal repeats	1	11	0.9379	NA	1	1.7145	NA	NA
k127_23408	575	No terminal repeats	1	11	0.9372	NA	0	1.5927	NA	NA
k127_39280	302	No terminal repeats	1	11	0.9354	NA	0	0.8746	NA	NA
k127_33762	301	No terminal repeats	1	11	0.9316	NA	0	1.6716	NA	NA
k127_6907	315	No terminal repeats	1	11	0.9287	NA	1	0.9963	NA	NA
k127_19164	381	No terminal repeats	1	11	0.9279	NA	1	1.0515	NA	NA
k127_27673	300	No terminal repeats	1	11	0.9158	NA	0	0.5910	NA	NA
k127_31443	292	No terminal repeats	1	11	0.9100	NA	0	1.7129	NA	NA
k127_15782	301	No terminal repeats	1	11	0.8873	NA	0	0.2475	NA	NA
k127_29477	298	No terminal repeats	1	11	0.8768	NA	0	0.2397	NA	NA
k127_26033	491	No terminal repeats	3	11	0.8713	NA	0	0.6573	NA	NA
k127_5766	301	No terminal repeats	1	11	0.8546	NA	0	0.6129	NA	NF012212
k127_38596	256	No terminal repeats	1	11	0.8518	NA	0	1.6155	NA	NA
k127_10357	1433	No terminal repeats	5	11	0.8501	NA	0	0.0000	NA	NA
k127_38574	256	No terminal repeats	1	11	0.8500	NA	0	1.6155	NA	NA
k127_18515	670	No terminal repeats	1	11	0.8323	NA	1	1.2242	MOBP1	NA
k127_1482	301	No terminal repeats	1	11	0.8274	NA	0	1.2661	NA	NA
k127_40298	275	No terminal repeats	1	11	0.8048	NA	0	1.6155	NA	NA
k127_23396	1592	No terminal repeats	4	11	0.8004	NA	0	0.0000	NA	NA
k127_3468	301	No terminal repeats	1	11	0.7996	NA	0	1.2661	NA	NA
k127_4736	942	No terminal repeats	3	11	0.7983	NA	0	1.6155	NA	NA
k127_10126	301	No terminal repeats	1	11	0.7962	NA	0	1.2044	NA	NA
k127_22737	408	No terminal repeats	1	11	0.7707	NA	0	1.4202	NA	NA
k127_28565	1095	No terminal repeats	2	11	0.7203	NA	0	0.0000	NA	NA
k127_32530	301	No terminal repeats	1	11	0.7059	NA	0	0.9502	NA	NA
k127_4323	849	No terminal repeats	2	11	0.6848	NA	0	0.0000	NA	NA
k127_44306	291	No terminal repeats	1	11	0.6822	NA	0	0.3293	NA	NA
k127_16290	658	No terminal repeats	2	11	0.6737	NA	0	0.0000	NA	NA
k127_33749	640	No terminal repeats	1	11	0.6487	NA	0	0.0000	NA	NA
k127_1886	614	No terminal repeats	2	11	0.6457	NA	0	0.0000	NA	NA
k127_27999	1187	No terminal repeats	4	11	0.6451	NA	0	0.0000	NA	NA
k127_37450	923	No terminal repeats	4	11	0.6418	NA	0	0.0000	NA	NA
k127_20537	1529	No terminal repeats	3	11	0.6389	NA	0	0.0000	NA	NA
k127_295	605	No terminal repeats	2	11	0.6243	NA	0	0.0000	NA	NA
k127_25065	690	No terminal repeats	2	11	0.6176	NA	0	0.0000	NA	NA
k127_41581	523	No terminal repeats	2	11	0.6141	NA	0	0.0000	NA	NA
k127_44114	558	No terminal repeats	2	11	0.6132	NA	0	0.0000	NA	NA
k127_41428	299	No terminal repeats	1	11	0.6126	NA	0	0.0000	NA	NA
k127_39596	1319	No terminal repeats	2	11	0.6095	NA	0	0.0000	NA	NA
