seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_8683	684	No terminal repeats	NA	2	11	0.9768	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_189	490	No terminal repeats	NA	2	11	0.9749	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_4979	2289	No terminal repeats	NA	1	11	0.9749	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8715	2995	No terminal repeats	NA	1	11	0.9748	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_6128	649	No terminal repeats	NA	1	11	0.9747	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_9729	2869	No terminal repeats	NA	1	11	0.9747	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2527	1659	No terminal repeats	NA	1	11	0.9746	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_10527	1448	No terminal repeats	NA	3	11	0.9745	NA	2	3.4366	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_4821	1761	No terminal repeats	NA	1	11	0.9745	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_11308	8364	No terminal repeats	NA	2	11	0.9742	NA	0	3.4366	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae
k127_9967	3654	No terminal repeats	NA	1	11	0.9741	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_962	1480	No terminal repeats	NA	1	11	0.9741	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_10857	752	No terminal repeats	NA	1	11	0.9737	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_5830	1296	No terminal repeats	NA	1	11	0.9736	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_1255	787	No terminal repeats	NA	1	11	0.9735	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales
k127_8520	249	No terminal repeats	NA	2	11	0.9734	NA	0	3.4366	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae
k127_2346	683	No terminal repeats	NA	1	11	0.9730	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_210	881	No terminal repeats	NA	2	11	0.9730	NA	1	3.4366	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_9343	425	No terminal repeats	NA	1	11	0.9730	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_4478	1329	No terminal repeats	NA	1	11	0.9729	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_3593	647	No terminal repeats	NA	1	11	0.9729	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1270	744	No terminal repeats	NA	1	11	0.9729	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_6797	743	No terminal repeats	NA	1	11	0.9729	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_9652	363	No terminal repeats	NA	1	11	0.9728	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8135	489	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_10250	347	No terminal repeats	NA	1	11	0.9727	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_5997	1009	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_532	725	No terminal repeats	NA	1	11	0.9726	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_3367	706	No terminal repeats	NA	1	11	0.9725	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_5018	3147	No terminal repeats	NA	1	11	0.9725	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_2151	870	No terminal repeats	NA	1	11	0.9724	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales
k127_11057	510	No terminal repeats	NA	1	11	0.9723	NA	0	1.7183	Viruses;Riboviria
k127_9958	465	No terminal repeats	NA	1	11	0.9722	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_11576	546	No terminal repeats	NA	1	11	0.9721	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_6725	595	No terminal repeats	NA	1	11	0.9720	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_8235	241	No terminal repeats	NA	1	11	0.9720	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_4838	521	No terminal repeats	NA	1	11	0.9718	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales
k127_10214	420	No terminal repeats	NA	1	11	0.9717	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8353	305	No terminal repeats	NA	1	11	0.9717	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_7535	261	No terminal repeats	NA	1	4	0.9717	NA	0	1.7183	Unclassified
k127_1027	389	No terminal repeats	NA	1	11	0.9717	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
