seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_2377	301	No terminal repeats	1	11	0.9313	NA	0	1.6184	NA	NA
k127_1521	300	No terminal repeats	1	11	0.9027	NA	0	1.3476	NA	NA
k127_2819	300	No terminal repeats	1	11	0.7681	NA	0	0.0000	NA	NA
k127_1736	299	No terminal repeats	1	11	0.7443	NA	0	0.0000	NA	NA
k127_4591	297	No terminal repeats	1	11	0.7404	NA	0	0.0000	NA	NA
k127_1060	299	No terminal repeats	1	11	0.7308	NA	0	0.0000	NA	NA
k127_4374	3009	No terminal repeats	6	11	0.7244	NA	0	0.0000	NA	NA
k127_2810	300	No terminal repeats	1	11	0.7166	NA	0	0.0000	NA	NA
k127_1748	299	No terminal repeats	1	11	0.7098	NA	0	0.0000	NA	NA
k127_1262	299	No terminal repeats	1	11	0.7082	NA	0	0.0000	NA	NA
k127_3219	301	No terminal repeats	1	11	0.7040	NA	0	0.0000	NA	NA
k127_433	300	No terminal repeats	1	11	0.7032	NA	0	0.0000	NA	NA
k127_4116	301	No terminal repeats	1	11	0.6675	NA	0	0.0000	NA	NA
k127_1395	299	No terminal repeats	1	11	0.6545	NA	0	0.0000	NA	NA
k127_3467	295	No terminal repeats	2	11	0.6425	NA	0	0.0000	NA	NA
k127_686	301	No terminal repeats	1	11	0.6406	NA	0	0.0000	NA	NA
k127_3365	300	No terminal repeats	1	11	0.6388	NA	0	0.0000	NA	NA
k127_4813	300	No terminal repeats	1	11	0.6209	NA	0	0.0000	NA	NA
k127_3446	295	No terminal repeats	1	11	0.6125	NA	0	0.0000	NA	NA
k127_4573	301	No terminal repeats	1	11	0.6104	NA	0	0.0000	NA	NA
k127_2950	299	No terminal repeats	1	15	0.6090	NA	0	0.0000	NA	NA
k127_639	300	No terminal repeats	2	11	0.5958	NA	0	0.0000	NA	NA
k127_3462	300	No terminal repeats	2	11	0.5886	NA	0	0.0000	NA	NA
k127_654	296	No terminal repeats	1	11	0.5843	NA	0	0.0000	NA	NA
k127_4983	231	No terminal repeats	1	11	0.5806	NA	0	0.7645	NA	NA
k127_2966	292	No terminal repeats	1	11	0.5799	NA	0	0.0000	NA	NA
k127_1422	292	No terminal repeats	2	11	0.5493	NA	0	0.0000	NA	NA
k127_3616	301	No terminal repeats	1	11	0.5309	NA	0	0.0000	NA	NA
k127_1978	1404	No terminal repeats	2	11	0.5226	NA	0	0.0000	NA	NA
k127_1469	296	No terminal repeats	2	11	0.5213	NA	0	0.0000	NA	NA
k127_450	280	No terminal repeats	2	11	0.5179	NA	0	0.0000	NA	NA
k127_3392	301	No terminal repeats	1	11	0.5161	NA	0	0.0000	NA	NA
k127_4360	299	No terminal repeats	1	11	0.5131	NA	0	0.0000	NA	NA
k127_3007	301	No terminal repeats	1	4	0.5088	NA	0	0.0000	NA	NA
k127_2164	893	No terminal repeats	2	11	0.4872	NA	0	0.0000	NA	NA
k127_739	301	No terminal repeats	1	11	0.4863	NA	0	0.0000	NA	NA
k127_1489	264	No terminal repeats	1	11	0.4836	NA	0	0.0000	NA	NA
k127_1072	292	No terminal repeats	1	11	0.4790	NA	0	0.0000	NA	NA
k127_2608	300	No terminal repeats	1	11	0.4750	NA	0	0.0000	NA	NA
k127_1021	287	No terminal repeats	1	11	0.4691	NA	0	0.0000	NA	NA
k127_4756	297	No terminal repeats	1	11	0.4678	NA	0	0.0000	NA	NA
k127_16	297	No terminal repeats	1	11	0.4638	NA	0	0.4367	NA	NF033105
k127_4408	279	No terminal repeats	1	11	0.4591	NA	0	0.0000	NA	NA
k127_1909	305	No terminal repeats	1	11	0.4570	NA	0	0.0000	NA	NA
k127_3763	267	No terminal repeats	1	11	0.4545	NA	0	0.0000	NA	NA
k127_3437	292	No terminal repeats	1	11	0.4523	NA	0	0.0000	NA	NA
k127_1144	692	No terminal repeats	2	11	0.4433	NA	0	0.0000	NA	NA
k127_1885	301	No terminal repeats	1	11	0.4390	NA	0	0.0000	NA	NA
k127_3450	340	No terminal repeats	1	11	0.4340	NA	0	0.0000	NA	NA
k127_2941	336	No terminal repeats	1	11	0.4322	NA	0	0.0000	NA	NA
k127_4465	292	No terminal repeats	2	11	0.4249	NA	0	0.0000	NA	NA
k127_3484	301	No terminal repeats	1	11	0.4240	NA	0	0.0000	NA	NA
k127_1605	290	No terminal repeats	2	15	0.4228	NA	0	0.0000	NA	NA
k127_2292	294	No terminal repeats	1	11	0.4201	NA	0	0.0000	NA	NA
k127_4261	434	No terminal repeats	2	11	0.4185	NA	0	0.0000	NA	NA
k127_4350	240	No terminal repeats	1	11	0.4185	NA	0	0.0000	NA	NA
k127_2671	300	No terminal repeats	1	11	0.4185	NA	0	0.0000	NA	NA
k127_675	297	No terminal repeats	1	11	0.4159	NA	0	0.0000	NA	NA
k127_924	290	No terminal repeats	2	11	0.4155	NA	0	0.0000	NA	NA
k127_3549	299	No terminal repeats	2	11	0.4147	NA	0	0.0000	NA	NA
k127_2844	293	No terminal repeats	2	11	0.4126	NA	0	0.0000	NA	NA
k127_3759	278	No terminal repeats	1	11	0.4117	NA	0	0.0000	NA	NA
k127_1312	299	No terminal repeats	2	11	0.4072	NA	0	0.0000	NA	NA
k127_434	299	No terminal repeats	1	11	0.4010	NA	0	0.0000	NA	NA
k127_3193	301	No terminal repeats	2	11	0.3967	NA	0	0.0000	NA	NA
k127_2342	297	No terminal repeats	1	11	0.3938	NA	0	0.0000	NA	NA
k127_2027	300	No terminal repeats	1	11	0.3873	NA	0	0.0000	NA	NA
k127_3911	289	No terminal repeats	1	11	0.3852	NA	0	0.0000	NA	NA
k127_3784	282	No terminal repeats	1	11	0.3838	NA	0	0.0000	NA	NA
k127_1040	279	No terminal repeats	1	11	0.3793	NA	0	0.0000	NA	NA
k127_3006	300	No terminal repeats	2	11	0.3788	NA	0	0.0000	NA	NA
k127_3356	284	No terminal repeats	2	11	0.3787	NA	0	0.0000	NA	NA
k127_3741	296	No terminal repeats	2	11	0.3777	NA	0	0.0000	NA	NA
k127_1813	301	No terminal repeats	1	11	0.3772	NA	0	0.0000	NA	NA
k127_1454	380	No terminal repeats	1	11	0.3765	NA	0	0.0000	NA	NA
k127_2858	971	No terminal repeats	2	11	0.3719	NA	0	0.0000	NA	NA
k127_1057	300	No terminal repeats	2	11	0.3717	NA	0	0.0000	NA	NA
k127_2145	301	No terminal repeats	2	11	0.3708	NA	0	0.0000	NA	NA
k127_2249	506	No terminal repeats	1	11	0.3693	NA	0	0.0000	NA	NA
k127_4835	287	No terminal repeats	1	11	0.3691	NA	0	0.0000	NA	NA
k127_2573	300	No terminal repeats	1	11	0.3675	NA	0	0.0000	NA	NA
k127_1478	298	No terminal repeats	2	11	0.3655	NA	0	0.0000	NA	NA
k127_335	301	No terminal repeats	1	11	0.3608	NA	0	0.0000	NA	NA
k127_1161	299	No terminal repeats	0	11	0.3579	NA	0	0.0000	NA	NA
k127_2146	298	No terminal repeats	2	11	0.3569	NA	0	0.0000	NA	NA
k127_3325	299	No terminal repeats	1	11	0.3565	NA	0	0.0000	NA	NA
k127_629	301	No terminal repeats	1	11	0.3536	NA	0	0.0000	NA	NA
