seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_17956	3090	No terminal repeats	NA	4	11	0.9820	NA	1	6.6182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15363	2866	No terminal repeats	NA	3	11	0.9812	NA	0	4.9573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1873	6096	No terminal repeats	NA	16	11	0.9794	NA	0	13.5881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15430	248	No terminal repeats	NA	2	11	0.9748	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5985	1976	No terminal repeats	NA	5	11	0.9747	NA	0	6.4522	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5909	783	No terminal repeats	NA	2	11	0.9745	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
k127_11540	848	No terminal repeats	NA	1	11	0.9744	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_10433	891	No terminal repeats	NA	2	11	0.9738	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
k127_12126	676	No terminal repeats	NA	1	11	0.9737	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_4423	792	No terminal repeats	NA	1	11	0.9737	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_14643	525	No terminal repeats	NA	1	11	0.9735	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_15779	407	No terminal repeats	NA	1	11	0.9735	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_8741	803	No terminal repeats	NA	1	11	0.9735	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_10126	719	No terminal repeats	NA	1	11	0.9735	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_6527	929	No terminal repeats	NA	1	11	0.9734	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_2122	951	No terminal repeats	NA	1	11	0.9734	NA	1	1.7183	Viruses;Riboviria
k127_4619	566	No terminal repeats	NA	1	11	0.9732	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_14822	564	No terminal repeats	NA	1	11	0.9731	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Resentoviricetes;Reovirales
k127_5306	592	No terminal repeats	NA	1	11	0.9728	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_10354	765	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_1753	511	No terminal repeats	NA	1	11	0.9727	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_2467	522	No terminal repeats	NA	1	11	0.9726	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_7020	449	No terminal repeats	NA	1	11	0.9725	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_8300	709	No terminal repeats	NA	1	11	0.9725	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_7630	455	No terminal repeats	NA	1	11	0.9725	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16277	470	No terminal repeats	NA	1	11	0.9724	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_13763	441	No terminal repeats	NA	1	11	0.9724	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_8140	951	No terminal repeats	NA	1	11	0.9724	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_5632	296	No terminal repeats	NA	1	11	0.9724	NA	0	1.7183	Unclassified
k127_15454	418	No terminal repeats	NA	1	11	0.9723	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
k127_16154	452	No terminal repeats	NA	1	11	0.9723	NA	1	1.7183	Viruses;Riboviria
k127_1418	450	No terminal repeats	NA	1	11	0.9723	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8721	473	No terminal repeats	NA	1	11	0.9722	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_14547	485	No terminal repeats	NA	1	11	0.9721	NA	0	1.7183	Viruses;Riboviria
k127_3961	746	No terminal repeats	NA	1	11	0.9721	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_16030	399	No terminal repeats	NA	1	11	0.9721	NA	1	1.7183	Viruses;Riboviria;Orthornavirae
k127_16106	635	No terminal repeats	NA	1	11	0.9720	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_10348	759	No terminal repeats	NA	1	11	0.9719	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_16726	349	No terminal repeats	NA	1	11	0.9719	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_2562	495	No terminal repeats	NA	1	11	0.9719	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_10457	381	No terminal repeats	NA	1	11	0.9718	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_3998	450	No terminal repeats	NA	1	11	0.9718	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_17898	661	No terminal repeats	NA	1	11	0.9718	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_2228	460	No terminal repeats	NA	1	11	0.9718	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_897	1475	No terminal repeats	NA	1	11	0.9717	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales
k127_12776	344	No terminal repeats	NA	1	11	0.9717	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1236	561	No terminal repeats	NA	1	11	0.9717	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_11879	520	No terminal repeats	NA	1	11	0.9716	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales
k127_5327	301	No terminal repeats	NA	1	11	0.9716	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes
k127_10305	335	No terminal repeats	NA	1	11	0.9715	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_8812	793	No terminal repeats	NA	1	11	0.9714	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota
