seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_3342	664	No terminal repeats	1	11	0.9934	NA	0	1.7183	NA	NA
k127_485	497	No terminal repeats	1	11	0.9933	NA	0	1.7183	NA	NA
k127_1150	591	No terminal repeats	1	11	0.9928	NA	0	1.7183	NA	NA
k127_993	296	No terminal repeats	1	11	0.9924	NA	0	1.7183	NA	NA
k127_1108	301	No terminal repeats	1	11	0.9920	NA	0	1.7183	NA	NA
k127_2383	299	No terminal repeats	1	11	0.9915	NA	0	1.7183	NA	NA
k127_5917	518	No terminal repeats	1	11	0.9915	NA	0	1.7183	NA	NA
k127_4135	348	No terminal repeats	1	11	0.9914	NA	0	1.7183	NA	NA
k127_2117	388	No terminal repeats	1	11	0.9912	NA	0	1.7183	NA	NA
k127_3791	477	No terminal repeats	1	11	0.9910	NA	0	1.7183	NA	NA
k127_2737	258	No terminal repeats	1	11	0.9910	NA	0	1.7183	NA	NA
k127_2591	326	No terminal repeats	1	11	0.9909	NA	0	1.7183	NA	NA
k127_4065	1696	No terminal repeats	2	11	0.9905	NA	0	3.2807	NA	NA
k127_3620	284	No terminal repeats	1	11	0.9903	NA	0	1.7183	NA	NA
k127_117	246	No terminal repeats	1	11	0.9898	NA	0	1.7183	NA	NA
k127_4581	268	No terminal repeats	1	11	0.9885	NA	0	1.7183	NA	NA
k127_5306	745	No terminal repeats	1	11	0.9875	NA	0	1.7183	NA	NA
k127_168	501	No terminal repeats	1	11	0.9874	NA	1	1.7183	B_traI	NA
k127_4564	238	No terminal repeats	1	11	0.9872	NA	0	1.7183	NA	NA
k127_6728	271	No terminal repeats	1	11	0.9865	NA	1	1.7183	NA	NA
k127_2812	542	No terminal repeats	1	11	0.9856	NA	0	1.7183	NA	NA
k127_2554	1012	No terminal repeats	1	11	0.9836	NA	0	1.7183	NA	NA
k127_7033	2346	DTR	5	11	0.9816	NA	0	1.3496	NA	NA
k127_1468	333	No terminal repeats	1	11	0.9779	NA	0	0.8886	NA	NA
k127_6796	1023	No terminal repeats	2	11	0.9757	NA	0	1.7183	NA	NA
k127_1437	581	No terminal repeats	1	11	0.9751	NA	0	1.4740	NA	NA
k127_5585	1079	No terminal repeats	2	11	0.9749	NA	0	1.7183	NA	NA
k127_6855	642	No terminal repeats	2	11	0.9705	NA	0	1.8770	NA	NA
k127_6443	582	No terminal repeats	1	11	0.9691	NA	0	1.7023	NA	NA
k127_4982	871	No terminal repeats	3	11	0.9687	NA	0	1.7183	NA	NA
k127_2351	410	No terminal repeats	2	11	0.9670	NA	0	1.7183	NA	NA
k127_6366	331	No terminal repeats	1	11	0.9644	NA	0	1.6931	NA	NA
k127_4345	257	No terminal repeats	1	11	0.9641	NA	0	1.6931	NA	NA
k127_4389	945	No terminal repeats	2	11	0.9636	NA	0	1.7183	NA	NA
k127_3521	390	No terminal repeats	1	11	0.9633	NA	0	1.6463	NA	NA
k127_2330	476	No terminal repeats	1	11	0.9618	NA	0	1.5625	NA	NA
k127_1945	427	No terminal repeats	1	11	0.9593	NA	0	1.6463	NA	NA
k127_5141	790	No terminal repeats	1	11	0.9582	NA	0	1.3484	NA	NA
k127_6169	2208	No terminal repeats	2	11	0.9565	NA	1	1.0515	NA	NA
