seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_7200	6340	No terminal repeats	NA	7	11	0.9827	NA	5	10.5598	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9696	52173	No terminal repeats	NA	83	11	0.9789	NA	5	82.1596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_949	4781	No terminal repeats	NA	3	11	0.9779	NA	2	4.1350	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8167	301	No terminal repeats	NA	1	11	0.9707	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7018	3840	No terminal repeats	NA	7	11	0.9703	NA	5	6.5107	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9038	6414	No terminal repeats	NA	10	11	0.9671	NA	7	13.6883	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7722	362	No terminal repeats	NA	1	11	0.9670	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4543	301	No terminal repeats	NA	1	11	0.9637	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8961	239	No terminal repeats	NA	1	11	0.9636	NA	0	1.4951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8052	15095	No terminal repeats	NA	31	11	0.9635	NA	1	17.0797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3101	274	No terminal repeats	NA	1	11	0.9632	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7999	229	No terminal repeats	NA	1	11	0.9628	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_492	558	No terminal repeats	NA	1	11	0.9624	NA	0	1.7183	Unclassified
k127_4269	6232	No terminal repeats	NA	9	11	0.9620	NA	2	5.6798	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8931	228	No terminal repeats	NA	1	11	0.9597	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_454	242	No terminal repeats	NA	1	11	0.9583	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3892	277	No terminal repeats	NA	1	11	0.9578	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5427	523	No terminal repeats	NA	1	11	0.9576	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales
k127_1096	268	No terminal repeats	NA	2	11	0.9574	NA	0	1.5099	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2713	299	No terminal repeats	NA	1	11	0.9573	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales
k127_4467	324	No terminal repeats	NA	1	11	0.9571	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6195	312	No terminal repeats	NA	1	11	0.9560	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6119	301	No terminal repeats	NA	1	11	0.9554	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8888	281	No terminal repeats	NA	1	11	0.9552	NA	0	1.7183	Unclassified
k127_8154	2405	No terminal repeats	NA	5	11	0.9548	NA	0	4.9397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9219	805	No terminal repeats	NA	1	11	0.9541	NA	0	1.7183	Unclassified
k127_4320	254	No terminal repeats	NA	1	11	0.9530	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6770	301	No terminal repeats	NA	1	11	0.9529	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9021	377	No terminal repeats	NA	1	11	0.9526	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6068	329	No terminal repeats	NA	1	11	0.9523	NA	0	1.0914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9994	301	No terminal repeats	NA	1	11	0.9505	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4062	301	No terminal repeats	NA	1	11	0.9501	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2908	226	No terminal repeats	NA	1	11	0.9498	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
