seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_2443	1098	No terminal repeats	2	11	0.9941	NA	0	3.4366	NA	NA
k127_1671	338	No terminal repeats	1	11	0.9921	NA	0	1.7183	NA	NA
k127_5317	334	No terminal repeats	1	11	0.9918	NA	0	1.7183	NA	NA
k127_5368	301	No terminal repeats	1	11	0.9914	NA	0	1.7183	NA	NA
k127_380	314	No terminal repeats	1	11	0.9911	NA	0	1.7183	NA	NA
k127_3458	236	No terminal repeats	1	11	0.9910	NA	0	1.7183	NA	NA
k127_2523	413	No terminal repeats	1	11	0.9908	NA	0	1.7183	NA	NA
k127_2068	272	No terminal repeats	1	11	0.9908	NA	0	1.7183	NA	NA
k127_1946	404	No terminal repeats	1	11	0.9906	NA	0	1.7183	NA	NA
k127_5027	227	No terminal repeats	1	11	0.9901	NA	0	1.7183	NA	NA
k127_1550	301	No terminal repeats	1	11	0.9890	NA	0	1.7183	NA	NA
k127_993	280	No terminal repeats	1	11	0.9886	NA	0	1.7183	NA	NA
k127_5435	356	No terminal repeats	1	11	0.9884	NA	0	1.7183	NA	NA
k127_1055	561	No terminal repeats	1	11	0.9874	NA	0	1.7183	NA	NA
k127_4604	297	No terminal repeats	1	11	0.9872	NA	0	1.7183	NA	NA
k127_5191	887	No terminal repeats	2	11	0.9870	NA	0	2.9497	NA	NA
k127_535	316	No terminal repeats	1	11	0.9867	NA	0	1.7183	NA	NA
k127_3866	1530	No terminal repeats	2	11	0.9853	NA	0	2.0108	NA	NA
k127_396	301	No terminal repeats	1	11	0.9825	NA	0	0.9446	NA	NA
k127_1486	2166	No terminal repeats	4	11	0.9822	NA	0	0.6748	NA	NA
k127_2116	2015	No terminal repeats	2	11	0.9773	NA	0	1.7183	NA	NA
k127_1040	262	No terminal repeats	1	11	0.9767	NA	0	1.5100	NA	NA
k127_2975	541	No terminal repeats	1	11	0.9763	NA	0	0.9446	NA	NA
k127_4223	402	No terminal repeats	1	11	0.9759	NA	0	1.7042	NA	NA
k127_2308	679	No terminal repeats	2	11	0.9758	NA	0	1.7183	NA	NA
k127_830	769	No terminal repeats	1	11	0.9663	NA	0	1.2565	NA	NA
k127_3040	659	No terminal repeats	1	11	0.9642	NA	0	1.5625	NA	NA
k127_4262	538	No terminal repeats	2	11	0.9638	NA	0	1.7183	NA	NA
k127_1131	482	No terminal repeats	1	11	0.9632	NA	0	1.5625	NA	NA
k127_1290	985	No terminal repeats	1	11	0.9594	NA	0	1.0301	NA	NA
k127_1526	530	No terminal repeats	2	11	0.9589	NA	0	1.7183	NA	NA
k127_553	329	No terminal repeats	1	11	0.9576	NA	1	1.6000	NA	NA
k127_2912	331	No terminal repeats	1	11	0.9562	NA	0	0.2939	NA	NA
k127_4877	266	No terminal repeats	1	11	0.9539	NA	0	1.3472	NA	NA
k127_3751	524	No terminal repeats	1	11	0.9530	NA	1	1.6000	NA	NA
k127_1091	292	No terminal repeats	1	11	0.9529	NA	0	1.5625	NA	NA
k127_1319	270	No terminal repeats	1	11	0.9527	NA	1	1.6000	NA	NA
k127_5320	425	No terminal repeats	2	11	0.9508	NA	0	1.7183	NA	NA
k127_3756	347	No terminal repeats	1	11	0.9503	NA	0	1.6931	NA	NA
k127_2118	379	No terminal repeats	1	11	0.9492	NA	0	1.6931	NA	NA
k127_4179	399	No terminal repeats	1	11	0.9490	NA	0	1.5838	NA	NA
k127_1675	230	No terminal repeats	1	11	0.9451	NA	0	1.7023	NA	NA
k127_4653	380	No terminal repeats	1	11	0.9415	NA	1	1.0515	NA	NA
k127_1309	488	No terminal repeats	1	11	0.9397	NA	0	1.6960	NA	NA
k127_1534	404	No terminal repeats	1	11	0.9391	NA	0	0.3308	NA	NA
k127_4569	824	No terminal repeats	1	11	0.9242	NA	0	1.7054	NA	NA
k127_3487	255	No terminal repeats	1	11	0.9170	NA	0	1.4330	NA	NA
k127_3461	255	No terminal repeats	1	11	0.9158	NA	0	1.4330	NA	NA
k127_4199	544	No terminal repeats	2	11	0.9153	NA	0	1.3250	NA	NA
k127_4907	518	No terminal repeats	2	11	0.9151	NA	0	1.5504	NA	NA
k127_4518	851	No terminal repeats	1	11	0.9137	NA	1	1.0515	NA	NA
k127_2037	377	No terminal repeats	1	11	0.9119	NA	0	1.5166	NA	NA
k127_4717	489	No terminal repeats	2	11	0.9101	NA	0	1.4998	NA	NA
k127_2249	826	No terminal repeats	1	11	0.9035	NA	0	1.6113	NA	NA
k127_1111	287	No terminal repeats	1	11	0.9028	NA	0	1.3918	NA	NA
