seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_92118	624	No terminal repeats	1	11	0.9921	NA	1	1.7183	NA	NA
k127_17148	301	No terminal repeats	1	11	0.9913	NA	0	1.7183	NA	NA
k127_2532	800	No terminal repeats	1	11	0.9912	NA	1	1.7183	NA	NA
k127_79434	301	No terminal repeats	1	11	0.9879	NA	0	1.4432	NA	NA
k127_15763	301	No terminal repeats	1	11	0.9863	NA	0	1.7183	NA	NA
k127_38615	937	No terminal repeats	1	11	0.9858	NA	1	0.9293	NA	NA
k127_75215	301	No terminal repeats	1	11	0.9842	NA	0	1.6922	NA	NA
k127_82289	315	No terminal repeats	1	11	0.9830	NA	0	1.6513	NA	NA
k127_33154	1135	No terminal repeats	3	11	0.9743	NA	0	1.7183	NA	NA
k127_86384	299	No terminal repeats	1	11	0.9732	NA	0	0.5836	NA	NA
k127_96651	771	No terminal repeats	2	11	0.9704	NA	0	1.7183	NA	NA
k127_34975	285	No terminal repeats	1	11	0.9661	NA	0	1.6801	NA	NA
k127_82280	403	No terminal repeats	1	11	0.9629	NA	0	1.6847	NA	NA
k127_83585	365	No terminal repeats	1	11	0.9604	NA	1	0.9293	NA	NA
k127_48553	301	No terminal repeats	1	15	0.9586	NA	0	0.7009	NA	NA
k127_83942	286	No terminal repeats	1	11	0.9572	NA	1	0.9372	NA	NA
k127_85181	286	No terminal repeats	1	11	0.9563	NA	0	0.7480	NA	NA
k127_8808	501	No terminal repeats	1	11	0.9560	NA	0	1.7111	NA	NA
k127_71924	459	No terminal repeats	1	11	0.9547	NA	0	1.4636	NA	NA
k127_11634	1034	No terminal repeats	3	11	0.9539	NA	0	0.8166	NA	NA
k127_58172	301	No terminal repeats	1	11	0.9498	NA	0	1.5851	NA	NA
k127_29507	768	No terminal repeats	1	11	0.9464	NA	1	1.5486	NA	NA
k127_15266	301	No terminal repeats	1	11	0.9454	NA	0	1.6349	NA	NA
k127_5408	315	No terminal repeats	1	11	0.9447	NA	0	1.6452	NA	NA
k127_61460	301	No terminal repeats	1	11	0.9370	NA	0	1.3492	NA	NA
k127_85261	549	No terminal repeats	1	11	0.9309	NA	0	0.3546	NA	NA
k127_60300	301	No terminal repeats	1	11	0.9298	NA	0	0.3981	NA	NA
k127_25396	268	No terminal repeats	1	11	0.9208	NA	0	0.2550	NA	NA
k127_82889	298	No terminal repeats	1	11	0.9198	NA	0	1.0908	NA	NA
k127_75656	1015	No terminal repeats	1	11	0.9193	NA	0	0.8746	NA	NA
k127_89431	299	No terminal repeats	1	11	0.9172	NA	1	0.9963	NA	NA
k127_79017	515	No terminal repeats	1	11	0.9137	NA	0	0.7836	NA	NA
k127_76998	301	No terminal repeats	1	11	0.9112	NA	0	0.4250	NA	NA
k127_80326	688	No terminal repeats	2	11	0.9110	NA	0	0.5836	NA	NA
k127_81319	297	No terminal repeats	1	11	0.9074	NA	0	0.4162	NA	NA
k127_65596	301	No terminal repeats	1	11	0.9058	NA	0	1.5166	NA	NA
k127_50557	228	No terminal repeats	1	11	0.9016	NA	0	0.9870	NA	NA
k127_78092	283	No terminal repeats	1	11	0.8762	NA	0	1.2661	NA	NA
k127_59545	300	No terminal repeats	1	11	0.8724	NA	0	0.1708	NA	NA
k127_44951	504	No terminal repeats	1	11	0.8702	NA	0	1.2661	NA	NA
k127_318	490	No terminal repeats	2	11	0.8631	NA	0	0.8870	NA	NA
k127_28637	488	No terminal repeats	1	4	0.8553	NA	0	1.6960	NA	NA
k127_48565	265	No terminal repeats	1	11	0.8528	NA	0	1.2661	NA	NA
k127_20718	294	No terminal repeats	1	11	0.8476	NA	0	1.2661	NA	NA
k127_61323	506	No terminal repeats	2	11	0.8475	NA	0	0.5836	NA	NA
k127_35638	301	No terminal repeats	1	11	0.8404	NA	0	0.1747	NA	NA
k127_14306	883	No terminal repeats	1	11	0.8383	NA	0	0.0000	NA	NA
k127_18295	298	No terminal repeats	1	11	0.8375	NA	0	1.1723	NA	NA
k127_55773	294	No terminal repeats	1	11	0.8323	NA	0	1.1513	NA	NA
k127_32029	298	No terminal repeats	1	11	0.8294	NA	0	1.2739	NA	NA
