seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_36388	17417	No terminal repeats	NA	23	11	0.9805	NA	2	21.2997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41115	1259	No terminal repeats	NA	2	11	0.9784	NA	1	3.2233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22678	13105	No terminal repeats	NA	17	11	0.9782	NA	2	17.0605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43598	8442	No terminal repeats	NA	10	11	0.9778	NA	0	9.9437	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_19999	1365	No terminal repeats	NA	3	11	0.9763	NA	0	4.7686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7619	1790	No terminal repeats	NA	2	11	0.9747	NA	2	2.8523	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_33370	1062	No terminal repeats	NA	2	11	0.9741	NA	1	3.4329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_24052	767	No terminal repeats	NA	1	11	0.9737	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41001	456	No terminal repeats	NA	1	11	0.9734	NA	0	1.7183	Unclassified
k127_43034	858	No terminal repeats	NA	3	11	0.9734	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_17574	428	No terminal repeats	NA	1	11	0.9734	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_39490	532	No terminal repeats	NA	1	11	0.9730	NA	1	1.5155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10712	834	No terminal repeats	NA	2	11	0.9729	NA	0	3.1616	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11830	301	No terminal repeats	NA	1	11	0.9729	NA	0	1.5353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1054	458	No terminal repeats	NA	1	11	0.9727	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_13276	814	No terminal repeats	NA	1	15	0.9726	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_20474	301	No terminal repeats	NA	1	11	0.9726	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_10837	887	No terminal repeats	NA	3	11	0.9725	NA	2	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_42535	409	No terminal repeats	NA	1	11	0.9722	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15819	301	No terminal repeats	NA	1	11	0.9722	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16462	300	No terminal repeats	NA	1	15	0.9721	NA	0	1.7183	Unclassified
k127_34452	1630	No terminal repeats	NA	4	11	0.9720	NA	0	3.0762	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_29337	300	No terminal repeats	NA	1	11	0.9717	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_39713	577	No terminal repeats	NA	2	11	0.9716	NA	0	1.4727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43928	611	No terminal repeats	NA	1	11	0.9716	NA	0	1.4984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43566	430	No terminal repeats	NA	1	11	0.9713	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31118	553	No terminal repeats	NA	1	11	0.9712	NA	0	1.7183	Unclassified
k127_17874	501	No terminal repeats	NA	1	11	0.9710	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11042	300	No terminal repeats	NA	1	11	0.9710	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_32964	301	No terminal repeats	NA	1	11	0.9709	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31418	300	No terminal repeats	NA	1	11	0.9708	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44763	301	No terminal repeats	NA	1	11	0.9708	NA	0	1.4745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7520	301	No terminal repeats	NA	1	11	0.9707	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31005	411	No terminal repeats	NA	1	11	0.9706	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31129	406	No terminal repeats	NA	1	11	0.9706	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_37366	413	No terminal repeats	NA	1	11	0.9705	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_12157	450	No terminal repeats	NA	1	11	0.9705	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_26673	301	No terminal repeats	NA	1	11	0.9705	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15695	293	No terminal repeats	NA	1	11	0.9705	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_39126	299	No terminal repeats	NA	1	11	0.9704	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16689	464	No terminal repeats	NA	1	11	0.9703	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_29177	547	No terminal repeats	NA	1	11	0.9703	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7036	446	No terminal repeats	NA	1	11	0.9703	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27340	548	No terminal repeats	NA	1	11	0.9702	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4650	301	No terminal repeats	NA	1	11	0.9702	NA	0	1.7183	Unclassified
k127_3651	8236	No terminal repeats	NA	7	11	0.9701	NA	1	4.4053	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_19331	291	No terminal repeats	NA	1	11	0.9701	NA	0	1.5952	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_32130	379	No terminal repeats	NA	1	11	0.9701	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43585	300	No terminal repeats	NA	1	11	0.9700	NA	0	1.7183	Unclassified
k127_24624	413	No terminal repeats	NA	1	11	0.9700	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_32933	398	No terminal repeats	NA	2	11	0.9700	NA	0	2.9828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4213	721	No terminal repeats	NA	2	11	0.9699	NA	0	3.4342	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11914	478	No terminal repeats	NA	2	11	0.9699	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_14906	386	No terminal repeats	NA	1	11	0.9698	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_20101	301	No terminal repeats	NA	1	11	0.9698	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_28624	301	No terminal repeats	NA	1	11	0.9697	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
